Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
Kota Banda Aceh,0.000,0.882,0.979,0.360,5.954,-,2.508,0.120,0.062,2.182,0.589,0.109,0.436,0.053,0.319,0.187,0.893,0.098,0.544,0.504,0.411,0.263,0.085,0.352,0.252,0.434,0.607,0.438,0.316,2.905,0.455,0.509,0.001
Kota Sabang,0.000,0.291,0.484,0.678,5.044,-,2.577,0.067,0.043,0.673,0.413,0.313,0.380,0.026,0.412,0.056,0.721,0.068,0.737,0.569,0.226,0.192,0.017,0.463,0.098,0.302,0.496,0.138,0.432,2.252,0.355,0.226,0.000
Kota Langsa,0.000,0.225,0.803,0.313,2.194,-,2.562,0.089,0.066,0.844,0.260,0.046,0.811,0.054,0.425,0.205,0.656,0.030,0.646,0.910,0.257,0.945,0.048,0.523,0.178,0.169,0.463,0.255,0.137,1.294,0.278,0.182,0.000
Kota Lhokseumawe,0.000,0.256,0.610,0.266,2.985,-,3.187,0.188,0.091,0.381,0.396,0.089,0.628,0.049,0.205,0.148,0.820,0.119,0.614,0.202,0.142,0.355,0.045,0.746,0.277,0.080,0.510,0.213,0.288,2.101,0.280,0.401,0.003
Kota Subulussalam,0.000,0.397,0.960,0.232,1.397,-,2.393,0.090,0.061,0.078,0.125,0.089,0.295,0.035,0.091,0.127,0.351,0.082,0.730,0.086,0.043,0.330,0.008,0.105,0.179,0.015,0.067,0.045,0.205,0.755,0.326,0.138,0.001
Nias,0.000,0.023,0.325,0.178,1.393,-,1.355,0.024,0.001,0.012,0.031,0.008,0.004,0.002,0.002,0.001,0.131,0.095,0.274,0.016,0.008,0.000,0.000,0.001,0.020,0.012,0.012,0.008,0.025,0.171,0.129,0.223,0.038
Mandailing Natal,0.000,0.674,2.181,0.557,1.676,-,5.700,0.307,0.344,0.238,0.129,0.030,1.338,0.135,0.087,0.307,0.393,0.132,0.609,0.040,0.052,0.034,0.004,0.173,0.111,0.135,0.059,0.201,0.187,1.848,0.256,0.266,0.002
Tapanuli Selatan,0.000,0.439,1.691,0.394,1.060,-,3.797,0.254,0.128,0.206,0.084,0.120,0.566,0.075,0.073,0.099,0.224,0.074,1.025,0.052,0.080,0.304,0.006,0.098,0.213,0.056,0.008,0.043,0.170,2.377,0.292,0.202,0.011
Tapanuli Tengah,0.000,0.297,1.115,0.317,0.708,-,2.039,0.121,0.059,0.180,0.086,0.346,0.315,0.019,0.092,0.041,0.445,0.027,0.659,0.187,0.154,0.173,0.000,0.042,0.096,0.053,0.074,0.063,0.117,0.625,0.169,0.362,0.062
Tapanuli Utara,0.000,0.118,0.742,0.223,0.465,-,1.818,0.022,0.044,0.219,0.023,0.013,0.128,0.021,0.007,0.059,0.353,0.031,0.489,0.006,0.014,0.002,0.001,0.009,0.181,0.025,0.003,0.012,0.064,0.800,0.054,0.032,0.214
Toba Samosir,0.000,0.193,1.114,0.498,1.261,-,2.523,0.083,0.054,0.419,0.035,0.317,0.096,0.138,0.130,0.063,1.356,0.024,0.771,0.199,0.115,0.139,0.020,0.039,0.155,0.063,0.033,0.085,0.093,1.216,0.170,0.053,0.427
Labuhan Batu,0.000,0.321,0.683,0.347,1.693,-,2.956,0.106,0.056,0.304,0.181,0.031,0.418,0.044,0.124,0.087,0.547,0.070,0.599,0.155,0.121,0.336,0.012,0.336,0.350,0.053,0.270,0.086,0.298,0.825,0.357,0.606,0.014
Asahan,0.000,0.392,1.518,0.367,1.458,-,3.419,0.070,0.070,0.400,0.201,0.245,0.375,0.052,0.238,0.071,0.502,0.092,0.623,0.329,0.103,0.293,0.012,0.044,0.700,0.022,0.258,0.410,0.435,0.473,0.318,0.383,0.021
Simalungun,0.000,0.290,1.689,0.290,1.356,-,3.059,0.139,0.067,0.576,0.107,0.112,0.474,0.038,0.178,0.057,0.590,0.033,0.499,0.133,0.125,0.622,0.005,0.104,0.386,0.093,0.050,0.267,0.253,1.323,0.251,0.185,0.118
Dairi,0.000,0.231,0.865,0.369,0.896,-,2.300,0.046,0.076,0.439,0.032,0.050,0.061,0.021,0.025,0.038,0.756,0.018,0.676,0.034,0.048,0.022,0.003,0.038,0.295,0.043,0.021,0.049,0.208,0.640,0.143,0.084,0.341
Karo,0.000,0.830,2.379,0.268,1.349,-,3.125,0.131,0.072,0.705,0.059,0.098,0.166,0.062,0.104,0.041,0.780,0.046,0.516,0.065,0.187,0.361,0.012,0.367,0.040,0.157,0.040,0.126,0.230,3.345,0.233,0.057,0.035
Deli Serdang,0.000,0.502,1.662,0.432,1.460,-,3.304,0.164,0.111,0.445,0.258,0.062,0.587,0.056,0.166,0.098,0.561,0.078,0.819,0.113,0.229,1.004,0.030,0.130,0.289,0.055,0.435,0.102,0.148,0.872,0.326,0.516,0.002
Langkat,0.000,0.153,1.427,0.289,1.095,-,2.872,0.072,0.087,0.420,0.163,0.135,0.468,0.038,0.256,0.063,0.443,0.044,0.530,0.108,0.215,1.238,0.013,0.303,0.150,0.051,0.233,0.104,0.181,0.772,0.404,0.612,0.009
Nias Selatan,0.000,0.236,0.770,0.052,1.789,-,1.544,0.019,0.002,0.001,0.028,0.051,0.024,0.020,0.017,0.024,0.135,0.068,0.287,0.022,0.009,0.001,0.005,0.000,0.015,0.009,0.017,0.019,0.030,0.236,0.038,0.084,0.009
Humbang Hasundutan,0.000,0.284,0.640,0.237,0.233,-,1.742,0.016,0.240,0.080,0.025,0.072,0.034,0.024,0.010,0.038,0.218,0.043,0.570,0.055,0.022,0.013,0.003,0.009,0.168,0.018,0.001,0.088,0.096,1.075,0.076,0.031,0.140
Pakpak Bharat,0.000,0.609,1.073,0.295,0.640,-,2.612,0.007,0.051,0.187,0.035,0.028,0.185,0.016,0.017,0.162,0.421,0.048,0.854,0.006,0.026,0.012,0.006,0.064,0.101,0.045,0.001,0.038,0.208,0.745,0.218,0.093,0.160
Samosir,0.000,0.206,0.844,0.373,0.296,-,2.123,0.060,0.006,0.231,0.050,0.157,0.025,0.033,0.037,0.041,0.563,0.018,0.731,0.066,0.094,0.036,0.008,0.006,0.367,0.023,0.082,0.073,0.220,1.095,0.070,0.031,0.301
Serdang Bedagai,0.000,0.131,1.426,0.326,1.162,-,3.345,0.044,0.051,0.627,0.148,0.286,0.674,0.061,0.315,0.071,0.511,0.017,0.734,0.132,0.331,0.728,0.002,0.082,0.768,0.067,0.193,0.272,0.180,0.763,0.207,0.810,0.029
Batu Bara,0.000,0.240,1.292,0.354,1.053,-,3.901,0.055,0.050,0.220,0.175,0.127,0.806,0.037,0.168,0.075,0.413,0.047,0.631,0.199,0.130,0.584,0.000,0.081,0.484,0.060,0.146,0.175,0.216,0.437,0.286,0.396,0.015
Padang Lawas Utara,0.000,0.175,1.194,0.323,0.926,-,3.820,0.095,0.235,0.331,0.069,0.368,0.203,0.037,0.024,0.199,0.305,0.087,0.797,0.083,0.191,0.183,0.001,0.018,0.116,0.041,0.090,0.049,0.127,2.139,0.280,0.243,0.006
Padang Lawas,0.000,0.155,1.442,0.266,1.309,-,5.416,0.072,0.439,0.222,0.139,0.020,0.649,0.063,0.017,0.488,0.646,0.098,1.120,0.016,0.030,0.514,0.006,0.245,0.200,0.029,0.124,0.047,0.139,2.719,0.190,0.919,0.001
Labuhan Batu Selatan,0.000,0.389,1.178,0.405,1.492,-,3.540,0.094,0.047,0.294,0.117,0.037,0.283,0.036,0.079,0.059,0.494,0.086,0.714,0.080,0.059,0.553,0.001,0.060,0.528,0.037,0.210,0.098,0.392,0.541,0.356,0.640,0.004
Labuhan Batu Utara,0.000,0.258,0.868,0.214,1.528,-,2.947,0.081,0.164,0.300,0.117,0.108,0.485,0.071,0.059,0.040,0.478,0.110,0.322,0.121,0.099,0.660,0.001,0.099,0.106,0.138,0.164,0.093,0.102,0.772,0.279,0.495,0.056
Nias Utara,0.000,0.170,0.567,0.142,1.950,-,1.205,0.031,0.002,0.006,0.021,0.022,0.042,0.004,0.024,0.005,0.135,0.125,0.385,0.012,0.024,0.010,0.003,0.000,0.020,0.020,0.113,0.081,0.129,0.341,0.204,0.236,0.042
