Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
Indragiri Hilir,0.000,0.295,1.113,0.275,1.399,-,2.669,0.029,0.097,0.863,0.155,0.092,0.404,0.185,0.061,0.124,0.170,0.040,0.525,0.053,0.093,0.335,0.026,0.044,0.230,0.064,0.130,0.272,0.191,0.689,0.146,1.006,0.000
Pelalawan,0.000,0.293,0.792,0.245,0.954,-,2.661,0.061,0.082,0.345,0.251,0.063,0.655,0.054,0.032,0.322,0.405,0.058,0.943,0.024,0.096,0.890,0.039,0.051,0.239,0.115,0.448,0.317,0.546,0.765,0.268,0.486,0.004
Siak,0.000,0.373,1.386,0.507,1.031,-,3.213,0.089,0.047,0.135,0.207,0.079,0.554,0.061,0.066,0.182,0.322,0.059,1.140,0.073,0.118,0.949,0.016,0.110,0.156,0.033,0.556,0.288,0.111,0.374,0.300,0.425,0.001
Kampar,0.000,0.138,1.081,0.241,0.907,-,2.674,0.056,0.092,0.522,0.232,0.037,0.725,0.038,0.095,0.562,0.314,0.100,0.623,0.044,0.081,0.614,0.022,0.176,0.107,0.050,0.265,0.253,0.157,0.545,0.187,0.235,0.007
Rokan Hulu,0.000,0.406,0.983,0.249,1.041,-,3.469,0.044,0.241,0.230,0.322,0.151,0.489,0.120,0.042,0.490,0.388,0.097,0.819,0.024,0.081,0.466,0.028,0.384,0.105,0.053,0.205,0.228,0.352,0.870,0.227,0.276,0.003
Bengkalis,0.000,0.435,0.851,0.284,1.888,-,2.292,0.028,0.069,0.265,0.166,0.010,0.595,0.052,0.039,0.092,0.311,0.028,0.908,0.066,0.083,0.410,0.014,0.070,0.122,0.021,0.356,0.170,0.346,0.580,0.163,0.338,0.007
Rokan Hilir,0.000,0.225,1.084,0.233,1.217,-,2.797,0.047,0.070,0.242,0.188,0.024,0.314,0.029,0.024,0.141,0.470,0.113,0.800,0.010,0.043,0.897,0.005,0.073,0.277,0.048,0.294,0.140,0.482,0.729,0.235,0.441,0.009
Kepulauan Meranti,0.000,0.203,0.799,0.385,2.398,-,2.197,0.013,0.214,0.270,0.158,0.053,0.826,0.105,0.066,0.099,0.237,0.045,0.777,0.047,0.155,0.408,0.009,0.049,0.089,0.055,0.078,0.267,0.179,0.786,0.159,0.862,0.001
Kota Pekanbaru,0.000,0.518,1.517,0.426,1.325,-,3.027,0.121,0.167,1.594,0.428,0.065,1.130,0.188,0.070,0.262,0.480,0.076,0.496,0.088,0.241,0.484,0.131,0.142,0.326,0.179,0.600,0.292,0.176,0.833,0.308,0.318,0.002
Kota Dumai,0.000,0.232,0.771,0.389,1.336,-,2.353,0.048,0.052,0.799,0.240,0.020,0.735,0.062,0.106,0.110,0.350,0.040,0.407,0.074,0.163,1.120,0.026,0.106,0.465,0.112,0.563,0.284,0.272,0.474,0.323,0.375,0.003
Kerinci,0.000,0.111,1.311,0.385,1.270,-,4.007,0.105,0.246,0.226,0.308,0.083,0.826,0.034,0.028,0.396,0.237,0.066,0.886,0.032,0.062,0.654,0.002,0.217,0.072,0.021,0.113,0.250,0.091,0.501,0.091,0.104,0.001
Merangin,0.000,0.100,0.913,0.197,0.984,-,2.965,0.085,0.231,0.264,0.116,0.752,0.500,0.105,0.136,0.300,0.306,0.042,0.313,0.095,0.265,0.541,0.015,0.139,0.081,0.078,0.095,0.319,0.072,0.503,0.132,0.253,0.006
Sarolangun,0.000,0.117,0.878,0.227,0.676,-,2.770,0.031,0.115,0.360,0.104,0.025,0.280,0.052,0.039,0.166,0.252,0.036,0.614,0.016,0.099,0.641,0.004,0.062,0.082,0.064,0.048,0.308,0.160,0.282,0.167,0.197,0.001
Batang Hari,0.000,0.164,1.200,0.339,1.542,-,2.975,0.038,0.181,0.396,0.137,0.193,0.266,0.080,0.059,0.214,0.319,0.075,0.562,0.082,0.201,0.783,0.010,0.141,0.287,0.167,0.125,0.356,0.392,0.637,0.225,0.378,0.000
Muaro Jambi,0.000,0.328,1.026,0.217,1.080,-,3.021,0.044,0.178,0.364,0.146,0.291,0.267,0.070,0.067,0.164,0.459,0.145,0.277,0.069,0.197,0.293,0.025,0.132,0.123,0.049,0.104,0.095,0.075,0.460,0.234,0.223,0.005
Tanjung Jabung Timur,0.000,0.183,1.111,0.362,1.936,-,3.099,0.052,0.157,0.579,0.104,0.558,0.304,0.098,0.208,0.168,0.243,0.068,0.657,0.091,0.184,0.669,0.016,0.038,0.264,0.104,0.155,0.493,0.171,0.694,0.112,0.505,0.001
Tanjung Jabung Barat,0.000,0.168,0.478,0.347,2.750,-,2.266,0.034,0.079,1.128,0.046,0.107,0.144,0.157,0.054,0.068,0.129,0.022,0.773,0.016,0.127,0.552,0.100,0.081,1.236,0.040,0.134,0.252,0.092,0.533,0.152,0.345,0.001
Tebo,0.000,0.184,1.103,0.246,1.509,-,2.492,0.081,0.230,0.348,0.172,0.110,0.368,0.098,0.052,0.352,0.449,0.066,0.431,0.035,0.182,0.444,0.027,0.117,0.115,0.121,0.082,0.357,0.270,0.555,0.122,0.258,0.000
Bungo,0.000,0.181,1.328,0.278,0.968,-,3.408,0.088,0.139,0.459,0.217,0.114,0.384,0.110,0.112,0.324,0.390,0.061,0.651,0.066,0.168,0.550,0.014,0.158,0.211,0.111,0.161,0.580,0.111,0.318,0.177,0.348,0.004
Kota Jambi,0.000,0.709,1.384,0.462,2.520,-,3.597,0.159,0.238,0.798,0.377,0.105,0.503,0.179,0.176,0.232,0.479,0.067,0.295,0.117,0.239,0.608,0.128,0.206,0.265,0.202,0.296,0.325,0.151,0.316,0.253,0.339,0.002
Kota Sungai Penuh,0.000,0.511,1.592,0.559,1.656,-,3.615,0.248,0.225,0.531,0.378,0.198,1.596,0.080,0.063,0.352,0.280,0.055,0.407,0.039,0.202,0.604,0.017,0.120,0.087,0.083,0.222,0.250,0.078,0.601,0.130,0.096,0.000
Ogan Komering Ulu,0.000,0.150,0.696,0.233,1.189,-,2.981,0.047,0.159,0.490,0.077,0.019,0.046,0.124,0.096,0.051,0.506,0.038,0.501,0.016,0.056,0.347,0.009,0.162,0.107,0.238,0.145,0.338,0.022,0.926,0.105,0.100,0.001
Ogan Komering Ilir,0.000,0.246,1.162,0.169,1.031,-,3.285,0.093,0.197,0.490,0.057,0.119,0.081,0.160,0.070,0.089,0.321,0.104,0.448,0.037,0.077,0.534,0.015,0.132,0.228,0.143,0.155,0.126,0.080,0.603,0.180,0.852,0.000
Muara Enim,0.000,0.305,1.495,0.146,0.930,-,3.558,0.025,0.183,0.458,0.050,0.131,0.085,0.043,0.090,0.068,0.423,0.066,0.635,0.043,0.114,0.805,0.021,0.123,0.537,0.206,0.088,0.247,0.269,0.400,0.209,0.528,0.000
Lahat,0.000,0.180,1.254,0.341,0.777,-,3.825,0.046,0.153,0.403,0.063,0.124,0.123,0.034,0.108,0.057,0.504,0.067,0.814,0.057,0.073,0.587,0.035,0.189,0.382,0.047,0.086,0.116,0.158,0.585,0.122,0.263,0.001
Musi Rawas,0.000,0.301,1.292,0.282,1.104,-,2.858,0.109,0.263,0.207,0.106,0.401,0.182,0.215,0.222,0.069,0.419,0.090,0.537,0.114,0.296,0.497,0.018,0.226,0.119,0.107,0.041,0.268,0.302,0.712,0.142,0.346,0.003
Musi Banyuasin,0.000,0.221,1.118,0.294,1.289,-,2.546,0.034,0.146,0.242,0.037,0.088,0.071,0.055,0.044,0.072,0.311,0.071,0.473,0.013,0.103,0.618,0.050,0.102,0.253,0.066,0.086,0.226,0.277,0.464,0.116,0.337,0.001
Banyu Asin,0.000,0.241,1.390,0.195,0.773,-,3.251,0.047,0.231,0.376,0.072,0.164,0.142,0.042,0.144,0.110,0.414,0.158,0.417,0.126,0.172,0.610,0.025,0.076,0.563,0.115,0.221,0.306,0.160,0.660,0.159,0.651,0.013
Ogan Komering Ulu Selatan,0.000,0.212,0.929,0.284,0.496,-,3.344,0.059,0.190,0.223,0.056,0.024,0.066,0.081,0.016,0.055,0.309,0.055,0.521,0.015,0.010,0.231,0.015,0.160,0.175,0.076,0.019,0.208,0.070,1.326,0.170,0.168,0.000
Ogan Komering Ulu Timur,0.000,0.106,1.115,0.234,1.130,-,3.230,0.066,0.312,0.298,0.085,0.453,0.138,0.284,0.308,0.069,0.421,0.058,0.513,0.115,0.246,0.505,0.005,0.269,0.122,0.123,0.028,0.285,0.205,1.103,0.136,0.571,0.006
Ogan Ilir,0.000,0.194,1.551,0.178,1.618,-,3.545,0.025,0.243,0.211,0.062,0.621,0.042,0.042,0.192,0.068,0.424,0.088,0.679,0.238,0.399,0.663,0.014,0.171,0.519,0.142,0.160,0.337,0.249,0.346,0.206,0.805,0.001
Empat Lawang,0.000,0.099,1.257,0.172,0.887,-,3.606,0.034,0.074,0.337,0.043,0.131,0.080,0.043,0.101,0.039,0.329,0.060,0.650,0.058,0.086,0.368,0.009,0.228,0.437,0.089,0.024,0.219,0.128,0.487,0.082,0.275,0.000
Penukal Abab Lematang Ilir,0.000,0.202,1.428,0.173,0.568,-,2.895,0.023,0.080,0.213,0.105,0.628,0.174,0.105,0.238,0.044,0.316,0.151,0.591,0.187,0.079,0.512,0.026,0.203,0.399,0.082,0.152,0.328,0.304,0.720,0.133,0.911,0.004
Musi Rawas Utara,0.000,0.105,1.167,0.247,0.935,-,3.320,0.103,0.240,0.106,0.087,0.463,0.106,0.129,0.224,0.101,0.387,0.172,0.493,0.130,0.364,0.945,0.009,0.140,0.139,0.173,0.047,0.417,0.338,0.891,0.198,0.670,0.004
Kota Palembang,0.000,0.667,1.281,0.313,2.158,-,3.702,0.115,0.178,0.709,0.174,0.373,0.257,0.112,0.277,0.105,0.459,0.152,0.603,0.240,0.249,0.573,0.156,0.201,0.863,0.298,0.187,0.158,0.142,0.738,0.254,0.717,0.000
Kota Prabumulih,0.000,0.286,0.953,0.306,2.095,-,3.038,0.029,0.110,1.209,0.045,0.087,0.170,0.081,0.256,0.108,0.294,0.042,0.581,0.062,0.194,0.498,0.030,0.159,0.684,0.134,0.180,0.181,0.016,0.459,0.173,0.478,0.000
Kota Pagar Alam,0.000,0.392,1.373,0.403,0.871,-,4.307,0.249,0.094,0.666,0.111,0.425,0.291,0.094,0.315,0.053,0.727,0.178,0.653,0.229,0.437,0.639,0.033,0.190,0.359,0.161,0.010,0.162,0.098,0.871,0.209,0.159,0.003
Kota Lubuklinggau,0.000,0.444,1.402,0.196,1.934,-,4.539,0.080,0.195,1.311,0.278,0.572,0.639,0.327,0.383,0.163,0.940,0.108,0.277,0.136,0.558,0.718,0.073,0.450,0.212,0.272,0.085,0.145,0.149,0.667,0.252,0.559,0.002
Bengkulu Selatan,0.000,0.149,0.587,0.203,1.281,-,2.674,0.020,0.182,0.127,0.065,0.656,0.234,0.125,0.169,0.212,0.313,0.066,1.097,0.208,0.510,0.479,0.014,0.255,0.026,0.331,0.027,0.654,0.206,0.534,0.111,0.054,0.000
Rejang Lebong,0.000,0.145,1.011,0.283,1.166,-,3.270,0.019,0.027,0.899,0.061,0.112,0.302,0.085,0.125,0.180,0.525,0.075,0.426,0.088,0.304,0.091,0.009,0.387,0.140,0.058,0.012,0.096,0.242,0.677,0.145,0.094,0.000
Bengkulu Utara,0.000,0.115,0.877,0.243,1.182,-,2.693,0.030,0.117,0.454,0.109,0.252,0.347,0.094,0.139,0.143,0.370,0.056,0.623,0.045,0.144,0.177,0.009,0.374,0.074,0.040,0.032,0.276,0.154,0.896,0.181,0.288,0.001
Kaur,0.000,0.165,0.774,0.192,0.744,-,3.590,0.063,0.145,0.350,0.077,0.038,0.167,0.042,0.037,0.179,0.254,0.049,0.709,0.032,0.035,0.191,0.017,0.125,0.038,0.048,0.035,0.266,0.161,0.397,0.155,0.036,0.001
Seluma,0.000,0.148,0.671,0.154,1.312,-,3.016,0.022,0.071,0.469,0.073,0.037,0.202,0.035,0.044,0.101,0.252,0.027,0.491,0.011,0.044,0.075,0.001,0.230,0.053,0.086,0.014,0.095,0.126,1.031,0.146,0.167,0.001
Mukomuko,0.000,0.226,1.194,0.221,1.104,-,2.941,0.097,0.173,0.086,0.169,0.243,0.452,0.091,0.173,0.368,0.284,0.053,0.740,0.131,0.185,0.229,0.005,0.222,0.118,0.114,0.281,0.213,0.116,0.467,0.200,0.146,0.001
Lebong,0.000,0.186,0.938,0.227,1.338,-,3.417,0.076,0.092,0.324,0.174,0.388,0.476,0.102,0.122,0.183,0.354,0.129,0.701,0.068,0.224,0.075,0.013,0.258,0.178,0.072,0.078,0.151,0.205,1.152,0.127,0.193,0.010
Kepahiang,0.000,0.077,0.874,0.257,0.754,-,2.623,0.012,0.041,0.201,0.027,0.104,0.187,0.033,0.057,0.186,0.335,0.047,0.866,0.036,0.177,0.120,0.014,0.305,0.159,0.024,0.006,0.261,0.169,0.647,0.104,0.088,0.000
Bengkulu Tengah,0.000,0.155,1.055,0.278,1.512,-,3.529,0.072,0.132,0.214,0.059,0.484,0.289,0.152,0.219,0.143,0.386,0.112,0.777,0.162,0.384,0.360,0.004,0.298,0.405,0.092,0.078,0.576,0.188,0.792,0.263,0.323,0.000
Kota Bengkulu,0.000,0.479,0.952,0.265,1.277,-,3.620,0.066,0.103,0.999,0.181,0.216,0.345,0.121,0.243,0.158,0.494,0.055,0.375,0.110,0.318,0.359,0.044,0.404,0.637,0.209,0.331,0.232,0.107,0.661,0.276,0.573,0.000
Lampung Barat,0.000,0.173,1.248,0.185,1.035,-,3.087,0.036,0.107,0.203,0.028,0.029,0.056,0.059,0.027,0.030,0.336,0.036,0.572,0.021,0.038,0.277,0.014,0.306,0.162,0.041,0.015,0.189,0.103,0.666,0.083,0.214,0.000
Tanggamus,0.000,0.102,1.698,0.196,1.257,-,3.386,0.071,0.170,0.215,0.052,0.403,0.080,0.119,0.243,0.022,0.419,0.072,0.576,0.197,0.259,0.492,0.034,0.178,0.181,0.033,0.049,0.091,0.247,1.006,0.130,0.315,0.000
Lampung Selatan,0.000,0.196,1.639,0.440,1.072,-,2.760,0.081,0.186,0.473,0.066,0.313,0.136,0.109,0.240,0.033,0.379,0.070,0.744,0.121,0.230,0.761,0.056,0.370,0.095,0.101,0.215,0.246,0.118,0.895,0.190,0.672,0.001
Lampung Timur,0.000,0.063,1.403,0.204,1.361,-,3.433,0.050,0.223,0.558,0.040,0.174,0.056,0.272,0.134,0.028,0.364,0.030,0.386,0.033,0.139,0.419,0.010,0.378,0.022,0.096,0.037,0.209,0.191,1.118,0.126,0.806,0.003
Lampung Tengah,0.000,0.281,1.608,0.284,1.360,-,3.626,0.105,0.190,0.609,0.066,0.118,0.091,0.204,0.156,0.038,0.396,0.039,0.819,0.034,0.160,0.439,0.019,0.308,0.232,0.084,0.045,0.168,0.080,1.369,0.170,0.606,0.002
Lampung Utara,0.000,0.282,1.604,0.232,0.602,-,3.045,0.070,0.131,0.322,0.046,0.013,0.070,0.100,0.061,0.042,0.401,0.059,0.635,0.010,0.039,0.746,0.031,0.222,0.035,0.052,0.034,0.177,0.369,0.448,0.144,0.476,0.000
Way Kanan,0.000,0.134,1.692,0.324,1.057,-,3.624,0.030,0.138,0.433,0.031,0.150,0.106,0.118,0.128,0.039,0.346,0.036,0.830,0.068,0.101,0.462,0.006,0.203,0.132,0.081,0.025,0.309,0.252,1.451,0.145,0.604,0.002
Tulangbawang,0.000,0.130,1.654,0.168,1.162,-,3.713,0.064,0.162,0.403,0.040,0.143,0.044,0.128,0.127,0.038,0.315,0.022,0.683,0.052,0.152,0.478,0.010,0.296,0.008,0.090,0.141,0.170,0.229,0.770,0.122,0.907,0.000
Pesawaran,0.000,0.180,1.833,0.449,1.170,-,3.298,0.053,0.175,0.479,0.049,0.226,0.055,0.114,0.173,0.024,0.362,0.053,0.799,0.051,0.115,0.586,0.032,0.280,0.199,0.042,0.084,0.126,0.134,0.761,0.120,0.607,0.005
Pringsewu,0.000,0.170,1.188,0.264,1.422,-,2.805,0.074,0.225,0.575,0.051,0.309,0.058,0.134,0.195,0.042,0.297,0.086,0.647,0.054,0.176,0.709,0.035,0.306,0.161,0.114,0.220,0.141,0.089,0.841,0.123,0.646,0.001
Mesuji,0.000,0.067,1.462,0.133,0.839,-,3.101,0.046,0.190,0.518,0.030,0.056,0.054,0.134,0.066,0.053,0.314,0.020,0.518,0.019,0.054,0.530,0.006,0.170,0.038,0.040,0.157,0.216,0.160,0.685,0.134,1.107,0.002
Tulang Bawang Barat,0.000,0.044,1.347,0.177,0.605,-,2.885,0.079,0.074,0.488,0.053,0.102,0.054,0.159,0.104,0.025,0.273,0.014,0.367,0.010,0.082,0.500,0.005,0.186,0.012,0.078,0.028,0.110,0.119,0.964,0.043,0.517,0.001
Pesisir Barat,0.000,0.123,1.434,0.294,1.059,-,3.913,0.067,0.161,0.168,0.043,0.029,0.019,0.049,0.040,0.016,0.344,0.081,0.789,0.019,0.044,0.307,0.033,0.243,0.071,0.122,0.086,0.357,0.103,0.360,0.125,0.399,0.000
Kota Bandar Lampung,0.000,0.471,1.501,0.311,1.018,-,2.706,0.120,0.183,0.502,0.177,0.538,0.173,0.186,0.321,0.081,0.550,0.056,0.523,0.287,0.285,0.676,0.135,0.483,0.446,0.148,0.325,0.131,0.292,0.528,0.243,0.595,0.001
Kota Metro,0.000,0.326,1.218,0.347,1.549,-,2.577,0.112,0.181,0.790,0.117,0.256,0.040,0.302,0.290,0.078,0.590,0.043,0.631,0.080,0.270,0.398,0.038,0.346,0.390,0.213,0.156,0.190,0.073,0.611,0.163,0.435,0.010
Bangka,0.000,0.432,1.289,0.451,5.208,-,3.954,0.052,0.097,0.670,0.224,0.136,0.042,0.072,0.223,0.191,0.535,0.046,0.466,0.129,0.228,0.413,0.063,0.098,0.098,0.203,0.358,0.164,0.077,0.433,0.109,0.527,0.000
Belitung,0.000,0.377,0.870,0.367,3.110,-,2.650,0.028,0.113,0.655,0.193,0.060,0.029,0.097,0.178,0.137,0.744,0.063,0.408,0.153,0.286,1.029,0.127,0.102,0.104,0.086,0.512,0.291,0.168,0.596,0.146,0.917,0.000
Bangka Barat,0.000,0.334,0.523,0.452,4.545,-,2.580,0.035,0.059,0.208,0.095,0.278,0.017,0.102,0.322,0.165,0.519,0.110,0.775,0.239,0.228,0.612,0.009,0.045,0.161,0.090,0.221,0.155,0.138,0.848,0.168,0.893,0.004
Bangka Tengah,0.000,0.285,0.711,0.335,4.242,-,2.619,0.041,0.086,0.098,0.221,0.301,0.035,0.055,0.208,0.222,0.635,0.092,0.388,0.143,0.343,0.465,0.055,0.043,0.288,0.099,0.296,0.134,0.229,0.381,0.165,0.424,0.000
Bangka Selatan,0.000,0.199,0.999,0.391,3.699,-,3.911,0.060,0.152,0.320,0.191,0.178,0.129,0.074,0.182,0.208,0.778,0.068,0.765,0.121,0.263,0.787,0.018,0.108,0.102,0.120,0.274,0.315,0.397,0.554,0.181,0.815,0.000
Belitung Timur,0.000,0.268,0.725,0.237,5.024,-,2.829,0.009,0.070,0.283,0.135,0.375,0.017,0.061,0.221,0.188,0.768,0.053,0.513,0.243,0.354,0.820,0.042,0.090,0.010,0.123,0.555,0.235,0.172,0.597,0.189,0.782,0.001
Kota Pangkal Pinang,0.000,0.615,0.872,0.236,3.909,-,2.659,0.058,0.145,0.193,0.231,0.474,0.100,0.116,0.362,0.236,0.785,0.033,0.345,0.243,0.449,0.644,0.138,0.190,0.348,0.202,0.470,0.117,0.074,0.316,0.277,0.453,0.000
Karimun,0.000,0.829,0.921,0.588,3.817,-,1.596,0.028,0.129,0.252,0.270,0.468,0.620,0.074,0.148,0.100,0.343,0.067,0.589,0.258,0.312,0.385,0.078,0.161,0.086,0.254,0.268,0.349,0.271,0.845,0.188,0.340,0.000
Bintan,0.000,0.613,0.864,0.377,2.267,-,1.407,0.049,0.217,0.640,0.134,0.089,0.335,0.105,0.114,0.067,0.335,0.042,0.433,0.071,0.151,0.501,0.023,0.067,0.107,0.159,0.189,0.166,0.287,0.762,0.192,0.555,0.001
Natuna,0.000,0.406,1.048,0.419,4.248,-,1.555,0.032,0.195,0.666,0.161,0.095,0.082,0.043,0.245,0.042,0.424,0.039,0.625,0.202,0.152,0.211,0.025,0.011,0.175,0.104,0.150,0.080,0.106,0.544,0.055,0.594,0.024
Lingga,0.000,0.205,0.541,1.044,4.452,-,1.884,0.007,0.178,0.419,0.206,0.047,0.396,0.097,0.171,0.067,0.234,0.037,0.504,0.148,0.152,0.320,0.027,0.028,0.021,0.022,0.157,0.139,0.182,0.822,0.041,0.752,0.000
Kepulauan Anambas,0.000,0.374,0.463,0.337,3.731,-,1.750,0.031,0.208,0.212,0.178,0.083,0.386,0.070,0.103,0.056,0.483,0.068,0.461,0.047,0.134,0.223,0.077,0.039,0.306,0.160,0.332,0.090,0.118,0.612,0.063,0.529,0.012
Kota Batam,0.000,0.843,1.244,0.468,2.890,-,3.092,0.117,0.223,1.455,0.206,0.280,0.426,0.131,0.154,0.163,0.478,0.039,0.650,0.158,0.372,0.343,0.163,0.170,0.363,0.459,0.586,0.471,0.202,1.026,0.427,0.466,0.011
Kota Tanjung Pinang,0.000,0.992,1.200,0.379,2.835,-,2.428,0.075,0.205,1.134,0.319,0.129,0.647,0.202,0.145,0.166,0.511,0.087,0.584,0.174,0.261,1.019,0.194,0.144,0.410,0.290,0.410,0.183,0.133,1.433,0.259,0.544,0.021
Kep. Seribu,0.000,0.489,0.933,0.451,0.538,-,2.568,0.359,0.331,0.292,0.215,0.233,0.190,0.055,0.185,0.046,0.584,0.126,0.271,0.217,0.083,0.488,0.261,0.348,0.181,0.671,0.490,0.119,0.051,0.322,0.414,0.714,0.007
Kota Jakarta Selatan,0.000,0.882,1.072,0.842,1.103,-,3.053,0.210,0.312,1.344,0.395,0.615,0.248,0.394,0.394,0.152,0.703,0.164,0.775,0.259,0.486,0.484,0.582,0.407,1.103,0.598,0.363,0.375,0.274,1.163,0.371,0.519,0.005
Kota Jakarta Timur,0.000,0.622,0.931,0.416,1.089,-,2.499,0.298,0.330,1.376,0.340,0.316,0.396,0.247,0.254,0.134,0.647,0.111,0.451,0.183,0.308,0.571,0.494,0.347,0.314,0.613,0.415,0.163,0.178,0.950,0.308,0.414,0.003
Kota Jakarta Pusat,0.000,0.716,1.045,0.573,1.426,-,2.786,0.380,0.435,1.931,0.431,0.620,0.629,0.321,0.442,0.157,0.946,0.176,0.773,0.298,0.417,0.823,0.819,0.535,0.336,1.039,0.437,0.268,0.219,1.332,0.349,0.447,0.006
Kota Jakarta Barat,0.000,0.744,1.245,0.515,1.269,-,3.282,0.346,0.348,1.181,0.624,0.448,0.441,0.328,0.476,0.151,0.833,0.178,0.555,0.278,0.366,0.583,0.766,0.578,0.149,0.901,0.381,0.280,0.227,1.008,0.308,0.729,0.003
Kota Jakarta Utara,0.000,0.804,1.214,0.585,1.679,-,3.754,0.380,0.364,1.672,0.417,0.778,0.588,0.346,0.460,0.166,0.853,0.136,0.649,0.402,0.380,0.741,0.638,0.615,0.469,1.784,0.452,0.551,0.252,1.343,0.338,0.577,0.002
Bogor,0.000,0.486,1.032,0.441,0.873,-,4.078,0.151,0.206,0.836,0.186,0.132,0.144,0.103,0.151,0.071,0.876,0.129,0.728,0.072,0.176,0.670,0.525,0.407,0.754,0.272,0.141,0.301,0.399,0.947,0.351,0.630,0.001
Sukabumi,0.000,0.231,1.413,0.505,0.956,-,4.609,0.098,0.109,0.273,0.063,0.272,0.071,0.047,0.194,0.076,0.793,0.135,0.821,0.092,0.225,0.391,0.427,0.194,1.167,0.088,0.091,0.455,0.517,1.185,0.287,0.335,0.000
Cianjur,0.000,0.285,1.229,0.386,0.989,-,4.650,0.074,0.059,0.362,0.072,0.125,0.055,0.035,0.090,0.030,0.633,0.053,0.567,0.055,0.145,0.554,0.438,0.296,0.492,0.137,0.076,0.343,0.631,0.758,0.181,0.121,0.002
Bandung,0.000,0.435,1.331,0.552,1.765,-,5.788,0.235,0.136,0.391,0.124,0.041,0.214,0.064,0.162,0.110,0.989,0.159,0.699,0.050,0.274,0.346,0.576,0.510,0.665,0.164,0.269,0.445,0.642,0.982,0.316,0.177,0.000
Garut,0.000,0.226,1.203,0.352,1.006,-,6.035,0.118,0.079,0.576,0.089,0.068,0.088,0.030,0.136,0.050,0.786,0.086,0.787,0.019,0.131,0.437,0.337,0.440,0.547,0.091,0.071,0.303,0.526,0.848,0.258,0.218,0.000
Tasikmalaya,0.000,0.329,1.389,0.484,1.774,-,5.479,0.237,0.100,0.454,0.066,0.159,0.097,0.050,0.839,0.105,0.709,0.095,0.728,0.100,0.295,0.665,0.317,0.444,0.788,0.106,0.101,0.452,0.437,1.010,0.327,0.196,0.000
Ciamis,0.000,0.385,1.302,0.303,1.559,-,3.993,0.257,0.178,0.426,0.123,0.387,0.132,0.072,0.889,0.091,0.540,0.082,0.450,0.154,0.410,0.582,0.265,0.260,0.841,0.057,0.120,0.270,0.419,0.850,0.244,0.226,0.000
Kuningan,0.000,0.430,1.073,0.472,1.510,-,5.551,0.207,0.131,0.458,0.102,0.240,0.085,0.064,0.671,0.049,0.717,0.067,0.578,0.106,0.240,0.601,0.473,0.422,0.792,0.120,0.093,0.561,0.165,0.817,0.244,0.267,0.000
Cirebon,0.000,0.455,1.086,1.194,1.596,-,7.655,0.243,0.362,2.404,0.142,0.206,0.289,0.129,0.967,0.077,0.939,0.187,1.330,0.254,0.461,0.962,0.478,0.594,0.796,0.312,0.284,0.490,0.166,1.725,0.238,1.895,0.004
Majalengka,0.000,0.303,1.190,0.504,1.839,-,6.639,0.222,0.253,0.864,0.103,0.260,0.107,0.135,1.854,0.082,0.792,0.099,0.864,0.106,0.656,0.843,0.515,0.487,0.734,0.113,0.156,0.751,0.222,0.693,0.240,0.562,0.000
Sumedang,0.000,0.275,1.098,0.516,1.135,-,5.384,0.218,0.186,0.740,0.215,0.215,0.230,0.083,0.564,0.088,0.836,0.109,0.720,0.089,0.394,0.505,0.440,0.475,0.396,0.187,0.103,0.340,0.334,1.081,0.249,0.213,0.001
Indramayu,0.000,0.208,1.718,1.360,2.173,-,7.101,0.337,0.642,1.859,0.203,0.171,0.379,0.109,0.548,0.152,0.831,0.196,1.591,0.734,0.484,1.300,0.514,0.493,0.651,0.176,0.394,0.701,0.377,1.077,0.317,2.774,0.003
Subang,0.000,0.310,1.301,0.320,1.138,-,5.014,0.204,0.318,0.485,0.117,0.383,0.366,0.251,0.509,0.121,0.767,0.179,0.580,0.385,0.497,0.697,0.449,0.361,0.700,0.268,0.127,0.478,0.332,0.950,0.347,0.744,0.000
