Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
Simeulue,0.000,0.075,0.305,0.091,2.832,-,1.222,0.038,0.005,0.127,0.091,0.057,0.354,0.006,0.041,0.019,0.310,0.125,0.577,0.081,0.027,0.009,0.002,0.025,0.027,0.022,0.402,0.035,0.131,1.298,0.200,0.291,0.000
Aceh Singkil,0.000,0.418,0.876,0.370,2.048,-,3.402,0.096,0.104,0.152,0.188,0.033,0.085,0.030,0.065,0.060,0.304,0.131,0.902,0.049,0.049,0.381,0.000,0.075,0.091,0.061,0.247,0.050,0.057,0.764,0.223,0.139,0.001
Aceh Selatan,0.000,0.097,0.602,0.440,4.615,-,2.885,0.029,0.019,0.717,0.099,0.072,0.088,0.007,0.041,0.033,0.538,0.172,0.887,0.066,0.061,0.016,0.002,0.109,0.113,0.039,0.201,0.086,0.271,1.792,0.171,0.229,0.001
Aceh Tenggara,0.000,0.268,0.699,0.400,1.565,-,2.958,0.121,0.056,0.096,0.124,0.146,0.559,0.022,0.087,0.078,0.432,0.123,0.753,0.130,0.142,0.349,0.024,0.387,0.092,0.048,0.095,0.134,0.128,1.549,0.368,0.195,0.046
Aceh Timur,0.000,0.482,0.878,0.389,3.357,-,2.757,0.151,0.080,0.335,0.315,0.059,0.357,0.008,0.011,0.042,0.734,0.076,0.879,0.013,0.051,0.066,0.007,0.232,0.146,0.164,0.094,0.362,0.300,2.574,0.318,0.172,0.002
Aceh Tengah,0.000,0.526,1.147,0.751,4.209,-,3.942,0.075,0.037,0.392,0.109,0.169,0.271,0.037,0.145,0.083,0.750,0.054,1.587,0.272,0.199,0.532,0.009,0.548,0.044,0.062,0.112,0.104,0.203,0.876,0.214,0.133,0.000
Aceh Barat,0.000,0.258,0.992,0.283,3.568,-,3.246,0.160,0.020,0.790,0.384,0.021,0.171,0.091,0.123,0.067,0.787,0.136,0.647,0.085,0.030,0.053,0.008,0.106,0.084,0.181,0.290,0.140,0.196,2.407,0.245,0.382,0.000
Aceh Besar,0.000,0.529,1.062,0.303,4.204,-,2.524,0.074,0.040,0.203,0.322,0.573,0.200,0.017,0.224,0.063,0.525,0.082,0.394,0.631,0.160,0.195,0.031,0.352,0.035,0.122,0.423,0.307,0.198,2.071,0.266,0.118,0.000
Pidie,0.000,0.438,0.857,0.308,4.105,-,3.599,0.244,0.032,0.374,0.467,0.042,0.339,0.012,0.058,0.069,1.113,0.108,0.503,0.060,0.016,0.136,0.012,0.248,0.138,0.158,0.254,0.100,0.145,3.006,0.475,0.172,0.000
