Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
Bireuen,0.000,0.152,0.800,0.479,3.979,-,2.889,0.090,0.029,0.514,0.314,0.140,0.342,0.020,0.109,0.044,1.036,0.097,0.689,0.165,0.072,0.356,0.004,0.351,0.064,0.167,0.140,0.170,0.338,2.486,0.352,0.205,0.002
Aceh Utara,0.000,0.284,0.676,0.190,3.460,-,2.486,0.107,0.037,0.076,0.249,0.112,0.377,0.010,0.065,0.041,0.851,0.084,0.775,0.040,0.010,0.115,0.008,0.441,0.029,0.042,0.105,0.186,0.155,2.944,0.320,0.217,0.000
Aceh Barat Daya,0.000,0.135,0.808,0.522,2.800,-,3.144,0.065,0.050,1.181,0.326,0.152,0.078,0.028,0.046,0.080,0.691,0.169,0.709,0.170,0.022,0.047,0.003,0.156,0.120,0.504,0.148,0.228,0.192,1.666,0.245,0.189,0.002
Gayo Lues,0.000,0.346,0.795,0.536,1.239,-,4.071,0.095,0.041,0.571,0.061,0.036,0.859,0.015,0.038,0.196,0.297,0.139,0.805,0.053,0.068,0.739,0.011,0.131,0.102,0.059,0.148,0.056,0.110,0.655,0.330,0.159,0.000
Aceh Tamiang,0.000,0.153,0.917,0.277,1.040,-,2.250,0.051,0.025,0.399,0.119,0.011,0.391,0.020,0.192,0.119,0.339,0.017,0.557,0.293,0.083,0.506,0.005,0.706,0.048,0.029,0.288,0.175,0.334,0.784,0.339,0.103,0.000
Nagan Raya,0.000,0.334,0.764,0.243,2.175,-,2.531,0.242,0.051,0.607,0.252,0.114,0.119,0.031,0.047,0.090,0.663,0.173,0.512,0.083,0.065,0.066,0.014,0.190,0.027,0.131,0.183,0.090,0.255,1.566,0.268,0.270,0.003
Aceh Jaya,0.000,0.120,1.015,0.396,4.218,-,2.909,0.126,0.030,0.356,0.289,0.105,0.097,0.063,0.187,0.032,0.579,0.172,0.387,0.210,0.111,0.157,0.001,0.306,0.080,0.150,0.196,0.446,0.451,2.562,0.292,0.301,0.000
Bener Meriah,0.000,0.187,1.641,0.293,3.633,-,4.849,0.067,0.070,0.664,0.091,0.128,0.230,0.023,0.106,0.071,0.728,0.063,0.658,0.063,0.022,1.234,0.010,0.451,0.072,0.022,0.062,0.059,0.271,1.468,0.213,0.123,0.000
Pidie Jaya,0.000,0.533,1.239,0.476,6.725,-,5.429,0.396,0.131,0.419,0.635,0.151,0.483,0.006,0.035,0.098,1.178,0.110,0.552,0.063,0.032,0.194,0.003,0.524,0.207,0.297,0.188,0.060,0.265,4.133,0.603,0.108,0.000
Kota Banda Aceh,0.000,0.435,0.643,0.306,4.804,-,2.564,0.096,0.050,1.877,0.595,0.177,0.517,0.067,0.236,0.143,0.714,0.090,0.551,0.470,0.258,0.368,0.110,0.384,0.587,0.423,0.679,0.269,0.297,2.521,0.362,0.690,0.003
Kota Sabang,0.000,0.495,0.452,0.871,4.963,-,2.721,0.097,0.046,0.876,0.579,0.177,0.440,0.028,0.370,0.086,0.769,0.057,0.869,0.498,0.194,0.438,0.043,0.458,0.110,0.228,0.593,0.126,0.257,2.175,0.271,0.394,0.000
Kota Langsa,0.000,0.312,0.978,0.305,2.206,-,2.864,0.085,0.045,0.844,0.324,0.037,0.762,0.043,0.404,0.244,0.607,0.023,0.516,0.613,0.194,1.188,0.029,0.403,0.179,0.201,0.462,0.363,0.161,1.419,0.271,0.296,0.000
Kota Lhokseumawe,0.000,0.298,0.569,0.422,2.705,-,2.851,0.140,0.038,0.778,0.406,0.166,0.526,0.023,0.186,0.085,0.710,0.081,0.667,0.196,0.173,0.536,0.033,0.594,0.232,0.119,0.514,0.118,0.170,1.843,0.342,0.384,0.005
Kota Subulussalam,0.000,0.242,0.739,0.131,1.177,-,2.926,0.107,0.039,0.160,0.119,0.038,0.265,0.023,0.044,0.117,0.406,0.095,0.952,0.039,0.046,0.533,0.013,0.087,0.300,0.028,0.098,0.018,0.173,0.673,0.349,0.228,0.001
Nias,0.000,0.062,0.362,0.123,1.733,-,1.755,0.007,0.000,0.014,0.016,0.008,0.005,0.001,0.002,0.001,0.133,0.108,0.319,0.003,0.013,0.011,0.001,0.000,0.012,0.005,0.032,0.015,0.015,0.232,0.094,0.137,0.023
Mandailing Natal,0.000,0.555,2.026,0.365,1.187,-,5.136,0.225,0.305,0.184,0.127,0.060,1.065,0.210,0.100,0.313,0.374,0.093,0.870,0.078,0.055,0.588,0.005,0.146,0.175,0.051,0.057,0.132,0.300,1.652,0.204,0.304,0.000
Tapanuli Selatan,0.000,0.321,1.373,0.271,1.284,-,3.695,0.249,0.114,0.040,0.101,0.156,0.581,0.080,0.100,0.092,0.238,0.053,0.816,0.054,0.107,0.312,0.001,0.074,0.120,0.050,0.045,0.029,0.260,2.052,0.290,0.086,0.023
Tapanuli Tengah,0.000,0.185,1.218,0.294,1.123,-,2.546,0.152,0.070,0.218,0.091,0.291,0.511,0.018,0.240,0.068,0.381,0.031,0.422,0.285,0.067,0.131,0.001,0.025,0.258,0.042,0.103,0.149,0.183,0.920,0.188,0.308,0.030
Tapanuli Utara,0.000,0.178,0.853,0.233,0.745,-,2.107,0.021,0.026,0.222,0.018,0.037,0.132,0.010,0.043,0.071,0.228,0.017,0.440,0.023,0.109,0.002,0.001,0.003,0.263,0.039,0.008,0.041,0.066,0.663,0.031,0.039,0.202
Toba Samosir,0.000,0.211,0.904,0.500,0.886,-,2.602,0.047,0.070,0.250,0.052,0.348,0.099,0.089,0.228,0.102,1.233,0.032,0.599,0.239,0.142,0.105,0.015,0.074,0.037,0.058,0.054,0.059,0.151,1.194,0.155,0.040,0.281
Labuhan Batu,0.000,0.429,0.718,0.427,1.275,-,2.289,0.102,0.074,0.288,0.144,0.023,0.267,0.044,0.125,0.047,0.474,0.059,0.462,0.207,0.113,0.322,0.007,0.084,0.232,0.070,0.235,0.147,0.215,0.628,0.310,0.309,0.006
Asahan,0.000,0.394,1.299,0.387,1.215,-,3.236,0.032,0.060,0.469,0.145,0.057,0.350,0.064,0.196,0.065,0.527,0.037,0.604,0.139,0.129,0.540,0.004,0.062,0.605,0.028,0.285,0.296,0.256,0.305,0.309,0.322,0.010
Simalungun,0.000,0.295,1.340,0.240,1.297,-,3.121,0.121,0.063,0.441,0.100,0.347,0.436,0.055,0.272,0.042,0.490,0.024,0.363,0.249,0.240,0.515,0.008,0.115,0.277,0.046,0.038,0.276,0.244,1.241,0.213,0.174,0.132
Dairi,0.000,0.334,0.745,0.277,0.591,-,1.947,0.044,0.025,0.345,0.022,0.062,0.058,0.012,0.041,0.070,0.617,0.011,0.400,0.051,0.042,0.012,0.000,0.053,0.643,0.020,0.029,0.073,0.207,0.865,0.157,0.089,0.229
Karo,0.000,0.876,1.969,0.328,1.200,-,2.721,0.185,0.054,0.501,0.071,0.122,0.138,0.049,0.071,0.085,0.560,0.083,0.474,0.102,0.136,0.424,0.019,0.451,0.028,0.113,0.037,0.126,0.231,2.963,0.190,0.037,0.047
Deli Serdang,0.000,0.301,1.308,0.466,1.070,-,2.502,0.176,0.087,0.480,0.221,0.124,0.468,0.069,0.282,0.140,0.469,0.050,0.643,0.176,0.228,0.705,0.025,0.145,0.308,0.092,0.420,0.089,0.123,0.713,0.264,0.504,0.004
Langkat,0.000,0.143,1.126,0.252,0.793,-,2.583,0.062,0.066,0.360,0.129,0.196,0.420,0.043,0.278,0.054,0.406,0.034,0.417,0.210,0.233,0.729,0.006,0.410,0.409,0.039,0.229,0.076,0.152,0.770,0.283,0.532,0.000
Nias Selatan,0.000,0.254,0.359,0.102,1.535,-,1.245,0.012,0.000,0.001,0.056,0.015,0.028,0.000,0.012,0.017,0.151,0.062,0.205,0.014,0.013,0.004,0.005,0.002,0.081,0.011,0.061,0.012,0.016,0.221,0.062,0.046,0.007
Humbang Hasundutan,0.000,0.077,0.588,0.218,0.215,-,1.725,0.026,0.164,0.071,0.024,0.049,0.051,0.032,0.017,0.047,0.252,0.028,0.467,0.011,0.027,0.025,0.005,0.006,0.152,0.005,0.000,0.045,0.068,1.107,0.073,0.034,0.180
Pakpak Bharat,0.000,0.666,0.819,0.336,0.454,-,2.592,0.017,0.061,0.332,0.047,0.075,0.105,0.017,0.029,0.113,0.434,0.042,0.839,0.027,0.065,0.004,0.010,0.066,0.221,0.052,0.002,0.026,0.158,0.858,0.244,0.213,0.142
Samosir,0.000,0.220,0.906,0.424,0.341,-,2.022,0.062,0.020,0.286,0.036,0.023,0.022,0.014,0.059,0.033,0.635,0.015,0.460,0.015,0.037,0.179,0.000,0.001,0.214,0.043,0.047,0.047,0.080,0.616,0.077,0.027,0.271
Serdang Bedagai,0.000,0.237,1.191,0.325,1.106,-,3.311,0.060,0.054,0.372,0.183,0.347,0.617,0.034,0.328,0.053,0.451,0.027,0.764,0.178,0.319,1.295,0.003,0.087,0.376,0.079,0.170,0.062,0.043,0.739,0.235,1.016,0.031
Batu Bara,0.000,0.199,1.191,0.238,0.962,-,3.527,0.023,0.069,0.426,0.173,0.070,0.763,0.036,0.240,0.072,0.362,0.046,0.617,0.265,0.099,0.786,0.001,0.043,0.180,0.026,0.196,0.185,0.281,0.537,0.321,0.543,0.016
Padang Lawas Utara,0.000,0.194,1.046,0.304,0.895,-,3.458,0.027,0.223,0.311,0.072,0.020,0.242,0.036,0.027,0.216,0.334,0.108,0.951,0.022,0.010,0.342,0.001,0.022,0.244,0.040,0.104,0.079,0.221,2.215,0.227,0.456,0.004
Padang Lawas,0.000,0.242,1.379,0.273,1.117,-,5.294,0.069,0.382,0.148,0.077,0.042,0.509,0.048,0.035,0.273,0.351,0.071,1.260,0.042,0.026,0.593,0.004,0.095,0.196,0.042,0.070,0.049,0.124,2.400,0.197,0.732,0.002
Labuhan Batu Selatan,0.000,0.419,1.119,0.343,1.489,-,3.540,0.057,0.051,0.232,0.128,0.063,0.394,0.030,0.102,0.063,0.476,0.113,0.464,0.039,0.095,0.908,0.004,0.194,0.497,0.054,0.209,0.103,0.415,0.929,0.287,0.577,0.016
Labuhan Batu Utara,0.000,0.223,0.902,0.429,1.208,-,2.950,0.069,0.095,0.414,0.127,0.056,0.357,0.048,0.097,0.032,0.505,0.129,0.598,0.087,0.110,1.057,0.002,0.053,0.090,0.182,0.177,0.102,0.145,0.594,0.244,0.551,0.030
Nias Utara,0.000,0.224,0.494,0.251,2.266,-,0.985,0.035,0.000,0.005,0.013,0.022,0.032,0.002,0.007,0.001,0.141,0.082,0.544,0.020,0.006,0.007,0.005,0.000,0.014,0.012,0.132,0.051,0.038,0.310,0.301,0.168,0.029
Nias Barat,0.000,0.210,0.349,0.163,0.994,-,1.088,0.017,0.001,0.010,0.018,0.029,0.009,0.002,0.002,0.001,0.090,0.147,0.645,0.014,0.018,0.003,0.001,0.000,0.024,0.017,0.028,0.075,0.134,0.460,0.214,0.209,0.009
Kota Sibolga,0.000,0.092,1.648,0.264,1.177,-,2.394,0.170,0.073,1.279,0.266,0.065,1.484,0.052,0.176,0.251,0.685,0.046,0.376,0.429,0.082,0.727,0.007,0.154,0.023,0.061,0.107,0.339,0.045,1.015,0.157,0.152,0.016
Kota Tanjung Balai,0.000,0.329,1.498,0.512,1.368,-,3.147,0.106,0.046,1.423,0.298,0.027,0.508,0.042,0.236,0.079,0.294,0.135,0.899,0.250,0.104,0.835,0.027,0.110,0.200,0.066,0.452,0.100,0.355,0.988,0.254,0.573,0.027
Kota Pematang Siantar,0.000,0.593,1.369,0.560,1.051,-,2.201,0.209,0.080,0.915,0.139,0.085,0.600,0.074,0.209,0.044,0.740,0.023,0.498,0.353,0.160,0.387,0.028,0.194,0.309,0.088,0.074,0.104,0.209,1.022,0.294,0.229,0.090
Kota Tebing Tinggi,0.000,0.397,1.105,0.361,1.314,-,2.446,0.121,0.069,0.709,0.203,0.026,0.986,0.063,0.521,0.125,0.534,0.043,0.495,0.792,0.288,1.192,0.103,0.266,0.124,0.101,0.292,0.260,0.189,0.537,0.342,0.426,0.015
Kota Medan,0.000,0.631,1.407,0.553,1.578,-,2.549,0.238,0.132,0.801,0.280,0.163,0.829,0.106,0.308,0.126,0.595,0.067,0.600,0.316,0.239,1.015,0.087,0.125,0.511,0.090,0.470,0.161,0.179,0.704,0.328,0.502,0.007
Kota Binjai,0.000,0.301,0.946,0.266,0.621,-,1.730,0.058,0.047,0.387,0.206,0.041,0.723,0.063,0.249,0.093,0.470,0.047,0.837,0.164,0.209,0.454,0.045,0.118,0.341,0.040,0.460,0.064,0.051,0.652,0.195,0.324,0.004
Kota Padangsidimpuan,0.000,0.464,1.177,0.466,1.575,-,5.221,0.348,0.180,0.430,0.202,0.442,0.868,0.222,0.279,0.184,0.537,0.080,1.089,0.382,0.279,0.820,0.012,0.254,0.477,0.169,0.186,0.180,0.271,1.929,0.224,0.273,0.001
Kota Gunungsitoli,0.000,0.121,0.369,0.093,1.460,-,1.008,0.080,0.006,0.134,0.060,0.046,0.174,0.020,0.077,0.017,0.236,0.044,0.235,0.105,0.048,0.019,0.012,0.014,0.109,0.077,0.338,0.163,0.239,0.346,0.149,0.230,0.019
Kepulauan Mentawai,0.000,0.367,1.064,0.386,0.610,-,1.895,0.103,0.051,0.060,0.140,0.075,0.427,0.041,0.047,0.140,0.097,0.100,0.655,0.059,0.034,0.020,0.011,0.007,0.017,0.042,0.095,0.091,0.076,0.776,0.068,0.364,0.001
Pesisir Selatan,0.000,0.493,1.607,0.409,1.207,-,2.959,0.168,0.517,0.432,0.465,0.053,1.404,0.065,0.093,0.345,0.141,0.045,0.773,0.097,0.115,0.721,0.002,0.085,0.147,0.061,0.347,0.274,0.308,0.620,0.149,0.373,0.001
Solok,0.000,0.286,1.426,0.265,0.631,-,3.734,0.089,0.090,0.372,0.218,0.075,1.024,0.025,0.014,0.209,0.213,0.032,1.300,0.035,0.107,0.591,0.004,0.047,0.149,0.050,0.204,0.286,0.189,0.462,0.125,0.159,0.002
Sijunjung,0.000,0.276,1.561,0.285,0.689,-,3.251,0.083,0.147,0.425,0.535,0.036,0.576,0.053,0.033,0.338,0.369,0.087,0.635,0.009,0.079,0.871,0.021,0.051,0.202,0.040,0.234,0.259,0.395,0.506,0.162,0.165,0.001
Tanah Datar,0.000,0.548,1.264,0.553,1.180,-,3.524,0.144,0.189,0.572,0.339,0.104,1.148,0.058,0.054,0.364,0.278,0.083,0.682,0.062,0.147,0.831,0.009,0.060,0.326,0.085,0.179,0.333,0.128,0.789,0.166,0.099,0.000
Padang Pariaman,0.000,0.284,1.791,0.305,0.601,-,3.566,0.216,0.175,0.456,0.335,0.170,2.283,0.049,0.067,0.249,0.238,0.040,0.680,0.173,0.128,0.483,0.003,0.154,0.205,0.125,0.172,0.380,0.177,1.450,0.148,0.393,0.000
Agam,0.000,0.564,1.615,0.540,1.019,-,3.260,0.126,0.067,0.253,0.388,0.255,1.116,0.061,0.061,0.263,0.235,0.053,0.619,0.180,0.247,0.305,0.037,0.073,0.296,0.097,0.195,0.365,0.133,0.693,0.163,0.161,0.000
Lima Puluh Kota,0.000,0.150,2.362,0.540,1.562,-,3.724,0.190,0.089,0.510,0.618,0.024,0.919,0.070,0.052,0.388,0.377,0.042,1.157,0.044,0.108,1.373,0.001,0.043,0.230,0.019,0.135,0.617,0.172,1.406,0.147,0.165,0.002
Pasaman,0.000,0.126,1.302,0.220,0.591,-,3.446,0.127,0.172,0.389,0.332,0.019,1.206,0.061,0.009,0.419,0.258,0.029,0.812,0.019,0.053,0.310,0.004,0.078,0.705,0.057,0.172,0.308,0.267,1.307,0.153,0.164,0.000
Solok Selatan,0.000,0.455,1.328,0.190,0.405,-,3.617,0.058,0.204,0.589,0.353,0.026,0.644,0.032,0.007,0.459,0.192,0.030,0.731,0.013,0.077,0.467,0.004,0.022,0.043,0.047,0.107,0.111,0.095,0.464,0.112,0.106,0.002
Dharmasraya,0.000,0.320,1.534,0.377,0.730,-,2.947,0.128,0.225,0.446,0.398,0.225,0.559,0.077,0.049,0.469,0.468,0.051,0.745,0.151,0.192,1.264,0.021,0.158,0.221,0.085,0.183,0.490,0.084,0.447,0.264,0.297,0.000
Pasaman Barat,0.000,0.185,1.951,0.332,0.760,-,3.558,0.063,0.233,0.229,0.268,0.139,0.862,0.082,0.099,0.322,0.233,0.029,0.844,0.084,0.102,0.435,0.005,0.068,0.018,0.057,0.188,0.124,0.279,0.990,0.159,0.220,0.001
Kota Padang,0.000,0.796,1.482,0.508,1.018,-,3.204,0.183,0.347,0.943,0.575,0.067,1.536,0.136,0.115,0.335,0.358,0.079,0.526,0.255,0.419,0.745,0.041,0.096,0.166,0.396,0.462,0.610,0.245,0.878,0.290,0.430,0.000
Kota Solok,0.000,0.697,1.586,0.581,1.215,-,4.265,0.173,0.139,0.588,0.652,0.042,1.365,0.118,0.075,0.193,0.350,0.046,0.908,0.095,0.228,1.086,0.042,0.226,0.292,0.083,0.347,0.337,0.143,0.521,0.262,0.208,0.001
Kota Sawah Lunto,0.000,0.515,1.143,0.408,0.834,-,3.755,0.105,0.218,0.594,0.389,0.051,0.821,0.056,0.033,0.228,0.355,0.051,0.402,0.065,0.120,0.763,0.039,0.047,0.222,0.047,0.407,0.283,0.108,0.430,0.253,0.080,0.000
Kota Padang Panjang,0.000,0.868,1.399,0.543,0.956,-,3.479,0.158,0.153,0.819,0.415,0.133,0.964,0.126,0.036,0.263,0.300,0.107,0.813,0.161,0.290,0.456,0.032,0.158,0.206,0.154,0.268,0.373,0.243,0.616,0.396,0.154,0.000
Kota Bukittinggi,0.000,0.923,1.980,0.678,1.849,-,4.214,0.192,0.183,0.980,0.463,0.064,1.060,0.147,0.097,0.203,0.357,0.072,0.974,0.221,0.415,0.619,0.061,0.094,0.628,0.170,0.404,0.475,0.234,0.715,0.363,0.248,0.001
Kota Payakumbuh,0.000,0.726,1.483,0.388,1.509,-,3.666,0.284,0.152,1.180,0.934,0.052,1.200,0.163,0.157,0.233,0.353,0.068,0.430,0.258,0.429,1.741,0.034,0.050,0.191,0.089,0.249,0.338,0.262,1.080,0.247,0.195,0.000
Kota Pariaman,0.000,0.542,1.824,0.658,1.043,-,3.482,0.344,0.368,0.801,0.639,0.337,2.507,0.121,0.015,0.210,0.299,0.069,1.078,0.458,0.305,0.474,0.051,0.325,0.390,0.256,0.319,0.331,0.227,1.552,0.332,0.131,0.001
Kuantan Singingi,0.000,0.206,1.085,0.252,1.109,-,3.174,0.057,0.052,0.293,0.254,0.057,0.684,0.106,0.018,0.323,0.313,0.065,0.749,0.030,0.083,0.901,0.016,0.124,0.164,0.075,0.204,0.334,0.240,0.620,0.170,0.160,0.006
Indragiri Hulu,0.000,0.229,0.818,0.198,1.336,-,2.564,0.051,0.064,0.424,0.167,0.064,0.710,0.102,0.070,0.273,0.296,0.052,0.660,0.064,0.098,1.286,0.027,0.148,0.091,0.041,0.295,0.246,0.223,0.565,0.246,0.256,0.002
Indragiri Hilir,0.000,0.217,0.911,0.231,1.129,-,2.194,0.035,0.096,0.707,0.174,0.138,0.385,0.149,0.074,0.105,0.184,0.082,0.525,0.080,0.103,0.720,0.049,0.064,0.329,0.072,0.205,0.423,0.112,0.674,0.179,0.630,0.000
Pelalawan,0.000,0.248,0.873,0.396,0.994,-,2.487,0.043,0.085,0.343,0.183,0.042,0.458,0.049,0.028,0.229,0.324,0.020,0.854,0.026,0.052,0.839,0.030,0.059,0.092,0.074,0.479,0.305,0.370,0.321,0.257,0.169,0.005
Siak,0.000,0.556,1.372,0.552,0.991,-,2.493,0.110,0.069,0.233,0.200,0.078,0.524,0.079,0.071,0.199,0.264,0.069,0.600,0.073,0.165,0.798,0.044,0.077,0.075,0.059,0.574,0.297,0.269,0.355,0.248,0.188,0.007
Kampar,0.000,0.249,0.781,0.250,0.824,-,2.166,0.055,0.059,0.323,0.231,0.051,0.597,0.055,0.053,0.476,0.318,0.057,0.185,0.044,0.128,0.685,0.009,0.164,0.067,0.079,0.306,0.114,0.087,0.337,0.213,0.187,0.002
Rokan Hulu,0.000,0.312,0.994,0.403,0.884,-,3.097,0.037,0.152,0.206,0.327,0.057,0.428,0.104,0.028,0.438,0.348,0.069,0.891,0.016,0.070,0.378,0.022,0.266,0.035,0.063,0.233,0.090,0.187,0.640,0.261,0.201,0.023
Bengkalis,0.000,0.467,0.831,0.336,1.669,-,2.458,0.073,0.097,0.330,0.220,0.023,0.665,0.047,0.089,0.105,0.294,0.025,0.410,0.071,0.151,0.578,0.016,0.122,0.106,0.119,0.378,0.209,0.427,0.562,0.198,0.309,0.002
Rokan Hilir,0.000,0.348,1.246,0.332,1.060,-,2.698,0.094,0.079,0.278,0.239,0.035,0.349,0.064,0.033,0.142,0.473,0.105,0.916,0.029,0.066,0.903,0.021,0.075,0.240,0.075,0.340,0.137,0.567,0.890,0.232,0.581,0.005
Kepulauan Meranti,0.000,0.183,0.806,0.333,2.404,-,2.264,0.016,0.126,0.266,0.128,0.015,0.787,0.088,0.044,0.073,0.205,0.044,0.545,0.054,0.119,0.530,0.044,0.025,0.090,0.094,0.084,0.127,0.161,0.653,0.142,0.878,0.000
Kota Pekanbaru,0.000,0.628,1.431,0.446,1.570,-,2.851,0.131,0.135,1.349,0.420,0.049,1.128,0.172,0.049,0.281,0.535,0.052,0.515,0.150,0.342,0.702,0.123,0.195,0.537,0.168,0.585,0.354,0.192,0.885,0.352,0.261,0.000
Kota Dumai,0.000,0.478,0.869,0.433,1.268,-,2.516,0.033,0.045,0.694,0.250,0.019,0.773,0.064,0.119,0.142,0.357,0.037,0.431,0.229,0.158,1.579,0.029,0.125,0.369,0.103,0.584,0.191,0.193,0.426,0.248,0.316,0.006
Kerinci,0.000,0.573,1.685,0.370,1.818,-,4.114,0.225,0.312,0.157,0.382,0.089,0.791,0.056,0.022,0.378,0.326,0.088,0.781,0.026,0.107,0.776,0.002,0.223,0.143,0.058,0.133,0.180,0.170,0.248,0.190,0.164,0.000
Merangin,0.000,0.162,0.801,0.239,0.896,-,2.393,0.102,0.216,0.380,0.127,0.313,0.402,0.087,0.138,0.158,0.276,0.044,0.278,0.107,0.213,0.624,0.009,0.119,0.069,0.062,0.102,0.268,0.210,0.326,0.173,0.233,0.002
Sarolangun,0.000,0.062,0.661,0.134,0.707,-,2.333,0.025,0.133,0.433,0.110,0.041,0.179,0.040,0.037,0.140,0.237,0.020,0.311,0.005,0.090,0.811,0.002,0.062,0.201,0.040,0.042,0.385,0.131,0.335,0.142,0.217,0.001
Batang Hari,0.000,0.151,1.018,0.297,1.620,-,3.119,0.037,0.191,0.363,0.166,0.320,0.312,0.102,0.136,0.215,0.302,0.098,0.543,0.144,0.206,0.503,0.008,0.119,0.354,0.255,0.088,0.643,0.386,0.627,0.226,0.214,0.003
