Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
Simeulue,0.000,0.034,0.302,0.207,3.219,-,1.652,0.031,0.006,0.099,0.063,0.031,0.431,0.015,0.040,0.026,0.293,0.113,0.371,0.066,0.019,0.004,0.002,0.034,0.040,0.026,0.408,0.021,0.178,1.515,0.182,0.223,-
Aceh Singkil,0.000,1.145,1.077,0.205,0.898,-,3.022,0.093,0.079,0.091,0.236,0.078,0.104,0.034,0.097,0.065,0.313,0.133,0.829,0.117,0.073,0.199,0.005,0.056,0.062,0.054,0.239,0.025,0.065,0.680,0.229,0.157,0.002
Aceh Selatan,0.000,0.146,0.951,0.292,3.396,-,2.807,0.066,0.023,0.688,0.089,0.241,0.119,0.012,0.077,0.048,0.496,0.112,0.838,0.145,0.061,0.013,0.001,0.088,0.084,0.058,0.099,0.133,0.169,1.743,0.285,0.138,0.000
Aceh Tenggara,0.000,0.251,0.714,0.245,1.755,-,2.846,0.100,0.047,0.126,0.170,0.022,0.565,0.020,0.059,0.113,0.379,0.084,0.568,0.024,0.044,0.394,0.017,0.362,0.059,0.139,0.119,0.081,0.190,1.265,0.345,0.150,0.067
Aceh Timur,0.000,0.335,0.786,0.283,2.764,-,2.931,0.193,0.032,0.374,0.274,0.047,0.396,0.011,0.046,0.041,0.688,0.071,0.691,0.037,0.037,0.097,0.027,0.191,0.131,0.139,0.141,0.181,0.103,2.336,0.352,0.114,-
Aceh Tengah,0.000,0.416,1.257,0.728,2.820,-,3.522,0.083,0.077,0.504,0.198,0.066,0.302,0.034,0.060,0.097,0.809,0.093,1.642,0.075,0.100,0.693,0.027,0.558,0.111,0.094,0.139,0.037,0.185,0.938,0.217,0.105,-
Aceh Barat,0.000,0.332,1.361,0.258,3.959,-,3.617,0.148,0.039,0.787,0.419,0.121,0.220,0.044,0.112,0.091,0.936,0.137,1.094,0.117,0.092,0.083,0.013,0.105,0.180,0.146,0.313,0.179,0.139,2.070,0.271,0.490,-
Aceh Besar,0.000,0.586,1.355,0.405,4.773,-,2.889,0.112,0.037,0.213,0.369,0.379,0.288,0.015,0.134,0.061,0.581,0.179,0.649,0.312,0.111,0.321,0.035,0.459,0.035,0.081,0.405,0.386,0.478,2.903,0.349,0.074,-
Pidie,0.000,0.291,0.872,0.422,3.624,-,4.125,0.228,0.076,0.404,0.462,0.043,0.415,0.006,0.033,0.108,1.284,0.124,0.589,0.038,0.018,0.141,0.005,0.327,0.047,0.110,0.188,0.153,0.354,2.591,0.443,0.162,-
