Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
Bireuen,0.000,0.198,1.100,0.558,5.323,-,3.759,0.105,0.043,0.707,0.371,0.126,0.380,0.022,0.082,0.045,1.030,0.147,0.889,0.110,0.093,0.431,0.011,0.493,0.185,0.258,0.142,0.165,0.341,2.903,0.510,0.289,-
Aceh Utara,0.000,0.289,0.715,0.226,3.306,-,2.460,0.156,0.046,0.058,0.257,0.122,0.326,0.016,0.055,0.021,0.796,0.099,0.538,0.022,0.023,0.078,0.011,0.482,0.023,0.052,0.090,0.075,0.152,2.510,0.362,0.139,-
Aceh Barat Daya,0.000,0.207,0.862,0.362,2.835,-,2.723,0.034,0.024,0.840,0.195,0.045,0.071,0.026,0.055,0.064,0.787,0.117,0.448,0.056,0.025,0.139,0.005,0.156,0.080,0.335,0.184,0.287,0.134,1.378,0.254,0.134,-
Gayo Lues,0.000,0.445,1.227,0.392,2.096,-,4.079,0.165,0.074,0.889,0.106,0.053,0.905,0.016,0.080,0.265,0.390,0.138,0.949,0.035,0.074,0.668,0.006,0.157,0.231,0.061,0.103,0.071,0.123,0.897,0.415,0.117,-
Aceh Tamiang,0.000,0.205,1.013,0.349,1.238,-,2.740,0.056,0.023,0.392,0.141,0.059,0.501,0.026,0.267,0.099,0.417,0.023,0.606,0.253,0.164,0.723,0.006,0.522,0.055,0.071,0.304,0.109,0.101,0.784,0.292,0.125,-
Nagan Raya,0.000,0.469,0.959,0.281,3.006,-,3.264,0.236,0.058,1.077,0.243,0.046,0.117,0.019,0.028,0.102,0.772,0.205,0.643,0.018,0.018,0.134,0.010,0.251,0.053,0.070,0.176,0.152,0.157,2.003,0.345,0.252,-
Aceh Jaya,0.000,0.349,1.118,0.643,4.955,-,3.851,0.156,0.031,0.649,0.348,0.192,0.143,0.031,0.187,0.055,0.691,0.249,0.577,0.182,0.050,0.178,0.000,0.480,0.135,0.203,0.177,0.418,0.270,3.260,0.345,0.246,-
Bener Meriah,0.000,0.268,1.025,0.495,4.208,-,4.479,0.059,0.090,0.767,0.091,0.120,0.241,0.008,0.093,0.047,0.636,0.072,0.818,0.065,0.025,0.893,0.007,0.390,0.036,0.043,0.060,0.057,0.186,1.289,0.219,0.046,-
Pidie Jaya,0.000,0.627,1.044,0.593,5.533,-,3.831,0.199,0.106,0.273,0.501,0.202,0.348,0.006,0.018,0.058,1.092,0.151,0.376,0.034,0.043,0.115,0.009,0.351,0.396,0.120,0.180,0.212,0.351,3.184,0.584,0.123,-
Kota Banda Aceh,0.000,0.731,0.893,0.355,5.102,-,2.129,0.070,0.058,1.547,0.512,0.209,0.470,0.075,0.205,0.150,0.742,0.059,0.573,0.525,0.351,0.193,0.077,0.353,0.482,0.449,0.648,0.324,0.234,2.684,0.258,0.593,-
Kota Sabang,0.000,0.279,0.515,0.697,5.756,-,3.278,0.102,0.064,1.016,0.313,0.100,0.358,0.040,0.292,0.047,0.657,0.057,0.568,0.332,0.150,0.595,0.058,0.439,0.183,0.247,0.472,0.101,0.197,1.991,0.245,0.544,-
Kota Langsa,0.000,0.343,0.799,0.307,1.963,-,2.326,0.126,0.070,0.796,0.344,0.115,0.657,0.040,0.390,0.232,0.615,0.046,0.533,0.721,0.325,1.190,0.048,0.294,0.155,0.107,0.529,0.203,0.231,1.181,0.317,0.327,-
Kota Lhokseumawe,0.000,0.546,0.865,0.434,3.687,-,3.351,0.170,0.103,0.607,0.407,0.114,0.629,0.055,0.239,0.108,0.765,0.099,0.575,0.177,0.190,0.463,0.053,0.571,0.168,0.128,0.538,0.093,0.189,1.858,0.271,0.518,-
Kota Subulussalam,0.000,0.313,0.954,0.288,1.241,-,2.891,0.083,0.039,0.200,0.118,0.046,0.277,0.035,0.028,0.100,0.417,0.058,0.986,0.022,0.060,0.296,0.002,0.105,0.109,0.023,0.076,0.061,0.090,0.770,0.295,0.221,-
Nias,0.000,0.077,0.170,0.145,1.261,-,1.128,0.044,0.002,0.007,0.022,0.015,0.011,0.002,0.030,0.000,0.161,0.120,0.392,0.013,0.014,0.001,0.002,0.001,0.013,0.042,0.032,0.024,0.030,0.274,0.082,0.074,0.017
Mandailing Natal,0.000,0.465,1.477,0.265,0.991,-,3.537,0.150,0.294,0.176,0.114,0.029,0.791,0.193,0.084,0.334,0.325,0.109,0.958,0.052,0.050,0.555,0.004,0.132,0.130,0.035,0.064,0.106,0.232,1.727,0.227,0.286,0.003
Tapanuli Selatan,0.000,0.308,1.336,0.307,1.063,-,2.901,0.233,0.182,0.068,0.092,0.173,0.467,0.159,0.110,0.177,0.228,0.087,0.704,0.040,0.101,0.334,0.008,0.078,0.283,0.025,0.038,0.022,0.157,1.935,0.207,0.143,0.026
Tapanuli Tengah,0.000,0.319,1.054,0.420,1.141,-,2.277,0.087,0.132,0.194,0.087,0.351,0.472,0.067,0.258,0.068,0.396,0.035,0.578,0.236,0.170,0.134,0.002,0.074,0.165,0.050,0.076,0.122,0.195,0.819,0.175,0.188,0.043
Tapanuli Utara,0.000,0.211,0.781,0.234,0.609,-,1.350,0.024,0.046,0.483,0.038,0.023,0.114,0.011,0.015,0.074,0.168,0.006,0.560,0.015,0.028,0.011,0.002,0.008,0.306,0.040,0.007,0.010,0.035,0.665,0.062,0.024,0.211
Toba Samosir,0.000,0.254,0.654,0.427,0.432,-,2.040,0.088,0.065,0.237,0.055,0.243,0.070,0.055,0.161,0.071,0.794,0.027,0.568,0.146,0.140,0.128,0.011,0.044,0.161,0.070,0.040,0.048,0.107,1.113,0.151,0.020,0.361
Labuhan Batu,0.000,0.247,0.752,0.444,0.923,-,1.874,0.062,0.042,0.333,0.180,0.054,0.223,0.037,0.107,0.043,0.451,0.037,0.504,0.107,0.070,0.217,0.006,0.094,0.215,0.057,0.307,0.077,0.195,0.580,0.185,0.340,0.015
Asahan,0.000,0.366,0.983,0.332,1.108,-,2.815,0.058,0.052,0.569,0.136,0.075,0.216,0.058,0.151,0.049,0.411,0.037,0.501,0.092,0.124,0.342,0.012,0.060,0.540,0.023,0.244,0.096,0.070,0.384,0.168,0.279,0.011
Simalungun,0.000,0.259,1.351,0.308,1.240,-,2.774,0.098,0.068,0.314,0.076,0.149,0.314,0.036,0.154,0.034,0.467,0.033,0.493,0.132,0.136,0.603,0.007,0.069,0.270,0.041,0.031,0.129,0.241,1.099,0.226,0.123,0.126
Dairi,0.000,0.456,0.818,0.287,0.705,-,1.728,0.050,0.038,0.323,0.041,0.028,0.060,0.036,0.024,0.111,0.487,0.017,0.573,0.027,0.026,0.006,0.004,0.039,0.375,0.010,0.009,0.030,0.183,0.801,0.159,0.047,0.226
Karo,0.000,0.666,1.849,0.374,1.548,-,2.804,0.165,0.051,0.452,0.140,0.070,0.271,0.050,0.138,0.051,0.550,0.077,0.525,0.108,0.129,0.367,0.014,0.385,0.023,0.121,0.045,0.159,0.429,3.026,0.182,0.040,0.024
Deli Serdang,0.000,0.253,1.338,0.465,1.109,-,2.323,0.140,0.079,0.372,0.173,0.144,0.428,0.056,0.263,0.083,0.430,0.022,0.572,0.115,0.260,0.572,0.024,0.120,0.214,0.043,0.453,0.087,0.090,0.729,0.283,0.448,0.004
Langkat,0.000,0.109,1.173,0.320,0.876,-,2.263,0.083,0.075,0.434,0.113,0.109,0.372,0.029,0.276,0.059,0.369,0.032,0.533,0.092,0.158,1.018,0.019,0.389,0.312,0.051,0.233,0.089,0.180,0.650,0.314,0.427,0.001
Nias Selatan,0.000,0.252,0.377,0.143,1.630,-,0.731,0.020,0.001,0.004,0.028,0.022,0.033,0.001,0.003,0.002,0.135,0.078,0.195,0.011,0.018,0.004,0.000,0.002,0.022,0.011,0.068,0.030,0.017,0.184,0.072,0.054,0.014
Humbang Hasundutan,0.000,0.241,0.663,0.377,0.352,-,1.282,0.049,0.060,0.092,0.035,0.043,0.049,0.011,0.001,0.043,0.235,0.022,0.605,0.029,0.012,0.006,0.002,0.005,0.215,0.022,0.006,0.031,0.047,0.941,0.100,0.037,0.154
Pakpak Bharat,0.000,0.285,0.988,0.437,0.343,-,2.183,0.013,0.017,0.420,0.028,0.003,0.037,0.008,0.010,0.123,0.325,0.037,0.952,0.027,0.020,0.006,0.001,0.049,0.148,0.053,0.006,0.049,0.199,0.856,0.154,0.122,0.134
Samosir,0.000,0.196,0.831,0.347,0.369,-,1.534,0.056,0.018,0.189,0.035,0.057,0.038,0.012,0.019,0.055,0.507,0.026,0.518,0.051,0.092,0.050,0.006,0.003,0.211,0.035,0.067,0.025,0.029,1.296,0.095,0.038,0.455
Serdang Bedagai,0.000,0.356,1.273,0.246,1.040,-,2.872,0.045,0.051,0.309,0.103,0.125,0.551,0.024,0.219,0.090,0.454,0.018,0.787,0.127,0.214,0.696,0.007,0.078,0.583,0.035,0.194,0.035,0.053,0.552,0.183,0.563,0.027
Batu Bara,0.000,0.143,1.136,0.321,0.764,-,2.343,0.031,0.071,0.479,0.148,0.007,0.563,0.033,0.183,0.056,0.323,0.027,0.716,0.131,0.109,0.613,0.011,0.061,0.481,0.021,0.177,0.150,0.146,0.454,0.297,0.284,0.031
Padang Lawas Utara,0.000,0.170,0.857,0.413,1.094,-,3.510,0.029,0.172,0.340,0.072,0.062,0.207,0.035,0.007,0.216,0.382,0.079,0.821,0.008,0.007,0.188,0.002,0.024,0.339,0.060,0.120,0.148,0.151,1.937,0.189,0.375,0.011
Padang Lawas,0.000,0.365,1.369,0.432,1.084,-,4.806,0.058,0.414,0.130,0.122,0.047,0.445,0.038,0.036,0.252,0.351,0.085,1.438,0.011,0.029,0.401,0.003,0.114,0.151,0.055,0.108,0.076,0.212,2.136,0.116,0.659,0.003
Labuhan Batu Selatan,0.000,0.639,0.923,0.316,1.079,-,2.872,0.033,0.062,0.089,0.149,0.219,0.303,0.027,0.262,0.071,0.483,0.064,0.530,0.082,0.260,1.009,0.001,0.095,0.158,0.048,0.283,0.041,0.275,0.735,0.203,0.734,0.007
Labuhan Batu Utara,0.000,0.181,1.067,0.275,1.211,-,2.649,0.043,0.053,0.460,0.091,0.039,0.196,0.040,0.052,0.050,0.465,0.057,0.647,0.045,0.052,0.830,0.004,0.044,0.099,0.127,0.262,0.053,0.234,0.642,0.282,0.280,0.068
Nias Utara,0.000,0.196,0.377,0.256,1.799,-,0.890,0.010,0.000,0.006,0.018,0.027,0.023,0.004,0.009,0.003,0.098,0.100,0.355,0.011,0.026,0.002,0.003,-,0.038,0.026,0.192,0.060,0.068,0.158,0.147,0.058,0.021
Nias Barat,0.000,0.175,0.283,0.265,0.597,-,0.931,0.036,0.000,0.002,0.022,0.037,0.008,0.002,0.006,0.002,0.091,0.101,0.388,0.012,0.029,0.000,0.002,-,0.022,0.015,0.016,0.036,0.069,0.321,0.135,0.049,0.003
Kota Sibolga,0.000,0.235,1.542,0.260,1.113,-,2.393,0.123,0.056,1.566,0.229,0.048,1.034,0.047,0.169,0.214,0.766,0.022,0.306,0.420,0.092,0.775,0.016,0.119,0.056,0.053,0.096,0.152,0.130,0.853,0.172,0.195,0.015
Kota Tanjung Balai,0.000,0.263,1.497,0.526,1.175,-,2.939,0.112,0.103,1.681,0.401,0.093,0.511,0.059,0.308,0.078,0.334,0.165,0.688,0.292,0.118,0.651,0.023,0.124,0.253,0.032,0.471,0.091,0.238,1.046,0.266,0.540,0.004
Kota Pematang Siantar,0.000,0.705,1.353,0.483,1.142,-,1.959,0.191,0.079,0.608,0.106,0.143,0.699,0.070,0.182,0.087,0.614,0.037,0.517,0.351,0.170,0.309,0.030,0.108,0.189,0.070,0.075,0.059,0.130,0.835,0.228,0.123,0.063
Kota Tebing Tinggi,0.000,0.387,1.243,0.370,1.011,-,1.815,0.087,0.069,0.755,0.249,0.214,0.925,0.054,0.447,0.129,0.506,0.041,0.668,0.524,0.226,0.816,0.067,0.167,0.184,0.070,0.314,0.141,0.350,0.574,0.309,0.343,0.016
Kota Medan,0.000,0.508,1.237,0.492,1.294,-,2.004,0.226,0.111,0.636,0.270,0.171,0.839,0.140,0.408,0.132,0.583,0.060,0.632,0.437,0.283,0.749,0.106,0.076,0.451,0.103,0.492,0.123,0.186,0.620,0.269,0.409,0.004
Kota Binjai,0.000,0.311,1.197,0.256,0.744,-,2.316,0.086,0.049,0.378,0.235,0.213,0.978,0.053,0.303,0.116,0.523,0.024,1.015,0.218,0.235,0.374,0.058,0.072,0.182,0.029,0.477,0.088,0.062,0.496,0.218,0.213,-
Kota Padangsidimpuan,0.000,0.372,1.114,0.376,1.759,-,4.816,0.359,0.192,0.395,0.233,0.524,0.872,0.258,0.455,0.199,0.477,0.085,1.071,0.255,0.399,0.802,0.037,0.241,0.413,0.039,0.165,0.125,0.230,1.681,0.228,0.152,0.004
Kota Gunungsitoli,0.000,0.073,0.365,0.162,1.464,-,1.174,0.036,0.014,0.100,0.065,0.029,0.107,0.021,0.078,0.026,0.191,0.050,0.229,0.077,0.051,0.004,0.003,0.014,0.074,0.057,0.299,0.139,0.208,0.213,0.061,0.132,0.026
Kepulauan Mentawai,0.000,0.235,0.970,0.498,0.392,-,1.511,0.050,0.049,0.018,0.131,0.118,0.339,0.010,0.003,0.110,0.090,0.054,0.583,0.080,0.094,0.042,0.000,0.001,0.022,0.020,0.114,0.119,0.122,0.565,0.032,0.264,0.001
Pesisir Selatan,0.000,0.258,1.869,0.419,1.192,-,3.042,0.139,0.619,0.229,0.315,0.030,1.176,0.031,0.039,0.351,0.178,0.020,0.796,0.048,0.077,0.977,0.003,0.064,0.099,0.057,0.301,0.238,0.247,0.390,0.162,0.315,0.006
Solok,0.000,0.366,1.247,0.218,0.533,-,3.874,0.112,0.118,0.186,0.129,0.061,1.053,0.011,0.008,0.241,0.205,0.038,0.940,0.015,0.053,0.618,0.010,0.032,0.078,0.027,0.156,0.096,0.108,0.428,0.151,0.151,0.001
Sijunjung,0.000,0.303,1.786,0.269,0.711,-,3.584,0.073,0.136,0.278,0.471,0.096,0.542,0.055,0.005,0.246,0.434,0.077,0.730,0.067,0.150,0.825,0.005,0.073,0.192,0.088,0.232,0.341,0.257,0.468,0.212,0.125,-
Tanah Datar,0.000,0.250,1.779,0.656,1.168,-,3.728,0.125,0.147,0.383,0.300,0.263,1.079,0.061,0.096,0.327,0.232,0.030,0.917,0.124,0.207,0.994,0.011,0.057,0.510,0.064,0.154,0.157,0.115,0.884,0.205,0.089,0.000
Padang Pariaman,0.000,0.417,1.406,0.353,0.583,-,3.568,0.187,0.166,0.623,0.268,0.115,2.001,0.052,0.061,0.260,0.256,0.063,0.814,0.118,0.117,0.616,0.014,0.165,0.111,0.083,0.194,0.265,0.083,1.205,0.136,0.345,0.001
Agam,0.000,0.490,1.434,0.554,0.542,-,2.760,0.105,0.104,0.119,0.357,0.265,0.972,0.073,0.067,0.278,0.253,0.045,0.695,0.119,0.223,0.362,0.022,0.104,0.197,0.029,0.189,0.163,0.087,0.594,0.131,0.080,0.001
Lima Puluh Kota,0.000,0.226,2.429,0.555,1.683,-,3.886,0.170,0.127,0.508,0.419,0.019,0.771,0.067,0.107,0.345,0.299,0.061,0.950,0.055,0.098,1.167,0.015,0.038,0.270,0.009,0.172,0.492,0.106,1.377,0.141,0.224,0.003
Pasaman,0.000,0.191,2.323,0.269,0.596,-,3.693,0.112,0.226,0.290,0.183,0.035,0.796,0.048,0.039,0.481,0.250,0.045,0.896,0.078,0.077,0.332,0.003,0.090,0.261,0.014,0.152,0.214,0.326,1.194,0.129,0.093,-
Solok Selatan,0.000,0.548,1.547,0.175,0.370,-,3.986,0.069,0.199,0.366,0.212,0.012,0.581,0.038,0.025,0.455,0.267,0.023,0.744,0.009,0.055,0.340,0.004,0.054,0.108,0.038,0.104,0.065,0.096,0.312,0.147,0.193,0.007
Dharmasraya,0.000,0.217,1.527,0.403,0.839,-,2.979,0.069,0.215,0.286,0.332,0.304,0.510,0.057,0.070,0.349,0.442,0.020,0.808,0.057,0.322,1.202,0.006,0.139,0.228,0.047,0.216,0.402,0.118,0.469,0.186,0.352,0.000
Pasaman Barat,0.000,0.238,1.969,0.263,0.973,-,3.462,0.082,0.278,0.206,0.303,0.069,0.898,0.087,0.039,0.441,0.250,0.034,0.775,0.036,0.052,0.317,0.004,0.035,0.031,0.027,0.155,0.150,0.160,1.199,0.116,0.224,0.000
Kota Padang,0.000,0.716,1.385,0.593,1.089,-,2.961,0.162,0.283,0.922,0.390,0.229,1.400,0.091,0.133,0.385,0.321,0.049,0.659,0.270,0.473,0.629,0.042,0.100,0.223,0.254,0.508,0.264,0.235,0.679,0.249,0.260,0.003
Kota Solok,0.000,0.729,1.641,0.602,1.156,-,3.781,0.177,0.109,0.428,0.431,0.015,1.228,0.064,0.036,0.221,0.304,0.064,1.074,0.067,0.178,1.138,0.052,0.125,0.282,0.023,0.386,0.209,0.135,0.528,0.289,0.158,0.004
Kota Sawah Lunto,0.000,0.491,1.255,0.464,0.980,-,3.630,0.096,0.170,0.400,0.255,0.066,0.809,0.059,0.072,0.224,0.354,0.036,0.668,0.043,0.159,0.873,0.059,0.102,0.223,0.050,0.415,0.401,0.196,0.401,0.260,0.112,-
Kota Padang Panjang,0.000,0.814,1.236,0.474,1.080,-,2.819,0.145,0.163,0.367,0.224,0.113,0.950,0.111,0.047,0.247,0.303,0.114,0.577,0.096,0.272,0.662,0.039,0.165,0.135,0.108,0.328,0.190,0.166,0.472,0.356,0.088,-
Kota Bukittinggi,0.000,1.521,1.864,0.759,1.325,-,3.759,0.177,0.196,1.032,0.355,0.100,1.102,0.210,0.079,0.241,0.413,0.049,0.989,0.143,0.617,1.092,0.076,0.150,0.393,0.159,0.395,0.308,0.232,0.899,0.277,0.155,-
Kota Payakumbuh,0.000,0.751,1.535,0.333,1.397,-,3.757,0.218,0.205,0.888,0.633,0.046,1.042,0.146,0.112,0.249,0.378,0.048,0.581,0.195,0.372,1.192,0.027,0.051,0.226,0.097,0.237,0.278,0.298,1.077,0.223,0.215,-
Kota Pariaman,0.000,0.590,1.729,0.515,1.263,-,3.331,0.467,0.401,0.529,0.503,0.390,2.277,0.125,0.054,0.306,0.322,0.053,0.896,0.292,0.327,0.503,0.073,0.309,0.153,0.220,0.315,0.352,0.125,0.973,0.272,0.207,0.002
Kuantan Singingi,0.000,0.256,1.356,0.276,0.975,-,2.771,0.044,0.054,0.286,0.159,0.043,0.713,0.113,0.033,0.372,0.324,0.043,0.940,0.028,0.141,1.180,0.007,0.175,0.069,0.093,0.285,0.314,0.255,0.585,0.244,0.153,0.001
Indragiri Hulu,0.000,0.148,0.560,0.259,1.044,-,2.200,0.021,0.056,0.379,0.071,0.039,0.470,0.071,0.030,0.195,0.310,0.030,0.478,0.025,0.060,1.084,0.007,0.072,0.049,0.021,0.340,0.205,0.090,0.494,0.177,0.300,0.000
Indragiri Hilir,0.000,0.293,1.235,0.279,1.488,-,2.269,0.025,0.121,0.661,0.116,0.114,0.343,0.120,0.052,0.113,0.163,0.037,0.572,0.055,0.077,0.611,0.043,0.043,0.263,0.090,0.202,0.266,0.279,0.788,0.219,0.642,0.001
Pelalawan,0.000,0.211,0.474,0.234,0.579,-,2.043,0.019,0.041,0.325,0.116,0.056,0.330,0.031,0.015,0.153,0.256,0.024,0.743,0.025,0.069,0.606,0.018,0.062,0.084,0.054,0.444,0.247,0.269,0.390,0.185,0.143,0.002
Siak,0.000,0.354,0.919,0.380,1.006,-,2.310,0.101,0.068,0.257,0.143,0.116,0.440,0.076,0.102,0.159,0.293,0.046,0.786,0.102,0.159,0.961,0.020,0.079,0.133,0.102,0.586,0.192,0.139,0.347,0.308,0.199,0.002
Kampar,0.000,0.115,0.918,0.181,0.823,-,2.840,0.058,0.095,0.247,0.151,0.094,0.554,0.077,0.022,0.499,0.346,0.030,0.241,0.018,0.064,0.581,0.008,0.113,0.063,0.041,0.333,0.130,0.174,0.401,0.288,0.132,0.005
Rokan Hulu,0.000,0.343,0.866,0.221,0.970,-,3.049,0.037,0.126,0.185,0.198,0.370,0.300,0.069,0.053,0.221,0.362,0.078,0.697,0.042,0.067,0.162,0.015,0.209,0.013,0.037,0.280,0.126,0.128,0.640,0.185,0.143,0.003
Bengkalis,0.000,0.397,0.764,0.316,1.464,-,1.997,0.042,0.137,0.405,0.160,0.041,0.572,0.058,0.060,0.115,0.284,0.041,0.518,0.051,0.139,0.694,0.007,0.080,0.069,0.081,0.356,0.221,0.279,0.629,0.165,0.187,0.005
Rokan Hilir,0.000,0.495,1.116,0.292,1.072,-,2.652,0.059,0.106,0.185,0.117,0.024,0.247,0.076,0.027,0.196,0.423,0.070,0.557,0.032,0.032,0.561,0.015,0.106,0.424,0.036,0.313,0.124,0.161,0.588,0.233,0.415,0.001
Kepulauan Meranti,0.000,0.511,0.829,0.367,2.484,-,2.178,0.012,0.070,0.248,0.120,0.013,0.612,0.031,0.062,0.059,0.177,0.050,0.559,0.072,0.113,0.416,0.014,0.037,0.026,0.058,0.062,0.155,0.139,0.438,0.223,0.624,-
Kota Pekanbaru,0.000,0.509,1.251,0.408,1.215,-,2.283,0.124,0.130,1.047,0.223,0.058,1.143,0.160,0.058,0.206,0.406,0.025,0.411,0.084,0.237,0.700,0.110,0.118,0.393,0.151,0.592,0.267,0.266,0.522,0.268,0.198,0.004
Kota Dumai,0.000,0.289,0.890,0.323,1.231,-,1.762,0.059,0.068,0.743,0.177,0.047,0.654,0.075,0.092,0.138,0.350,0.036,0.380,0.103,0.241,1.388,0.017,0.116,0.188,0.097,0.597,0.108,0.122,0.469,0.223,0.173,0.025
Kerinci,0.000,0.138,1.460,0.426,1.255,-,3.364,0.155,0.269,0.120,0.267,0.055,0.748,0.037,0.034,0.371,0.268,0.082,0.907,0.021,0.095,0.689,0.005,0.233,0.086,0.031,0.139,0.088,0.057,0.253,0.168,0.081,-
Merangin,0.000,0.220,0.996,0.283,0.678,-,2.577,0.062,0.191,0.212,0.080,0.165,0.306,0.079,0.099,0.153,0.263,0.028,0.337,0.049,0.210,0.469,0.012,0.091,0.080,0.037,0.044,0.148,0.070,0.301,0.153,0.165,-
Sarolangun,0.000,0.084,0.786,0.156,0.797,-,2.436,0.033,0.119,0.457,0.084,0.057,0.159,0.052,0.044,0.158,0.263,0.036,0.365,0.020,0.094,0.802,0.011,0.080,0.085,0.047,0.057,0.275,0.126,0.431,0.172,0.164,-
Batang Hari,0.000,0.107,1.105,0.301,1.357,-,2.543,0.024,0.183,0.281,0.074,0.715,0.209,0.085,0.134,0.140,0.279,0.096,0.487,0.156,0.298,0.504,0.006,0.062,0.163,0.102,0.073,0.331,0.296,0.442,0.193,0.176,0.001
Muaro Jambi,0.000,0.413,0.986,0.324,1.241,-,2.652,0.050,0.158,0.289,0.088,0.122,0.193,0.093,0.042,0.170,0.440,0.084,0.262,0.024,0.233,0.430,0.034,0.116,0.080,0.118,0.204,0.176,0.148,0.451,0.213,0.257,-
