Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
Simeulue,0.000,0.216,0.780,0.048,2.817,-,1.596,0.094,0.019,0.113,0.131,0.061,0.533,0.022,0.026,0.070,0.358,0.151,0.358,0.069,0.004,0.042,-,0.083,0.013,0.073,0.283,0.024,0.058,1.189,0.228,0.307,-
Aceh Singkil,0.000,0.398,1.273,0.437,1.810,-,2.905,0.050,0.089,0.210,0.184,0.310,0.114,0.033,0.146,0.107,0.409,0.224,1.414,0.213,0.195,0.309,0.002,0.054,0.018,0.070,0.190,0.112,0.066,0.927,0.354,0.280,0.006
Aceh Selatan,0.000,0.280,0.563,0.354,3.679,-,2.526,0.033,0.019,0.692,0.112,0.103,0.068,0.017,0.042,0.042,0.488,0.125,0.907,0.065,0.011,0.001,0.003,0.034,0.015,0.017,0.127,0.068,0.181,1.480,0.245,0.211,0.001
Aceh Tenggara,0.000,0.482,1.341,0.387,2.019,-,3.228,0.196,0.079,0.242,0.165,0.025,0.868,0.021,0.040,0.115,0.526,0.160,0.833,0.057,0.087,0.627,0.018,0.308,0.044,0.064,0.179,0.124,0.061,1.554,0.559,0.174,0.069
Aceh Timur,0.000,0.500,0.884,0.298,3.327,-,2.987,0.110,0.059,0.355,0.311,0.118,0.292,0.014,0.030,0.140,0.707,0.105,0.584,0.071,0.027,0.317,0.011,0.283,0.025,0.222,0.095,0.306,0.246,2.554,0.550,0.142,-
Aceh Tengah,0.000,0.558,1.209,0.574,3.183,-,3.825,0.088,0.059,0.370,0.088,0.068,0.196,0.014,0.040,0.047,0.628,0.071,0.891,0.036,0.018,0.391,0.008,0.517,0.068,0.050,0.110,0.046,0.085,0.758,0.199,0.102,0.002
Aceh Barat,0.000,0.439,1.146,0.275,3.048,-,2.562,0.123,0.025,0.379,0.281,0.039,0.125,0.022,0.102,0.034,0.675,0.181,0.987,0.064,0.026,0.164,0.007,0.053,0.161,0.044,0.262,0.134,0.093,1.680,0.129,0.166,0.001
Aceh Besar,0.000,0.656,1.453,0.384,4.265,-,3.365,0.130,0.056,0.430,0.385,0.256,0.328,0.025,0.097,0.060,0.611,0.156,0.490,0.114,0.096,0.335,0.044,0.332,0.069,0.165,0.388,0.151,0.178,2.613,0.353,0.104,0.000
Pidie,0.000,0.402,0.647,0.386,4.558,-,3.448,0.123,0.081,0.570,0.460,0.035,0.376,0.004,0.005,0.073,1.135,0.074,0.578,0.046,0.010,0.296,0.004,0.297,0.417,0.253,0.120,0.210,0.185,2.863,0.730,0.253,0.003
