Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
Bireuen,0.000,0.180,0.776,0.722,4.155,-,2.854,0.078,0.024,0.555,0.327,0.110,0.325,0.022,0.065,0.038,1.173,0.107,1.072,0.099,0.043,0.197,0.007,0.270,0.086,0.180,0.077,0.344,0.233,2.979,0.451,0.165,0.000
Aceh Utara,0.000,0.183,0.685,0.272,3.083,-,3.055,0.037,0.047,0.092,0.260,0.103,0.249,0.006,0.059,0.019,0.767,0.070,0.726,0.046,0.030,0.030,0.002,0.433,0.059,0.069,0.093,0.191,0.114,2.402,0.394,0.098,-
Aceh Barat Daya,0.000,0.264,0.549,0.257,2.995,-,3.681,0.061,0.021,1.062,0.158,0.056,0.055,0.072,0.075,0.043,0.631,0.179,0.646,0.106,0.032,0.007,-,0.064,0.012,0.273,0.132,0.293,0.235,1.592,0.178,0.189,0.000
Gayo Lues,0.000,0.410,0.746,0.805,1.194,-,3.451,0.107,0.081,0.155,0.108,0.046,0.927,0.030,0.021,0.199,0.418,0.093,1.149,0.052,0.092,0.564,0.005,0.165,0.091,0.075,0.146,0.138,0.276,0.407,0.453,0.034,0.000
Aceh Tamiang,0.000,0.163,0.941,0.168,0.728,-,2.599,0.030,0.030,0.424,0.134,0.015,0.482,0.021,0.153,0.099,0.387,0.029,0.643,0.193,0.086,0.533,0.004,0.661,0.108,0.028,0.292,0.137,0.195,0.690,0.296,0.087,0.002
Nagan Raya,0.000,0.271,0.760,0.125,2.371,-,2.577,0.150,0.042,0.417,0.168,0.052,0.081,0.027,0.020,0.051,0.580,0.144,0.515,0.017,0.003,0.057,0.004,0.117,0.009,0.090,0.085,0.230,0.179,1.385,0.204,0.115,-
Aceh Jaya,0.000,0.221,0.875,0.371,4.656,-,2.658,0.099,0.023,0.343,0.282,0.113,0.128,0.008,0.066,0.028,0.529,0.242,0.435,0.073,0.017,0.144,-,0.241,0.025,0.088,0.179,0.217,0.501,2.977,0.220,0.199,0.002
Bener Meriah,0.000,0.220,1.202,0.473,2.910,-,4.208,0.021,0.055,0.444,0.090,0.065,0.262,0.012,0.061,0.063,0.601,0.037,0.836,0.023,0.042,0.733,0.001,0.338,0.010,0.022,0.071,0.070,0.216,1.178,0.234,0.083,-
Pidie Jaya,0.000,0.120,0.893,0.676,5.746,-,4.355,0.252,0.060,0.717,0.395,0.111,0.360,0.022,0.101,0.040,1.548,0.087,0.627,0.163,0.009,0.023,0.004,0.417,0.300,0.240,0.106,0.217,0.105,4.720,0.351,0.309,-
Kota Banda Aceh,0.000,0.750,0.831,0.454,4.773,-,2.595,0.097,0.055,1.596,0.657,0.170,0.383,0.074,0.183,0.159,0.868,0.085,0.721,0.429,0.258,0.618,0.042,0.418,0.113,0.671,0.691,0.329,0.475,2.331,0.479,0.464,0.005
Kota Sabang,0.000,0.402,0.229,0.621,4.781,-,2.054,0.054,0.036,0.836,0.417,0.022,0.277,0.043,0.388,0.033,0.457,0.019,0.583,0.569,0.175,0.345,0.012,0.344,0.077,0.175,0.590,0.176,0.263,1.697,0.327,0.327,-
Kota Langsa,0.000,0.303,1.120,0.354,2.390,-,2.422,0.127,0.057,0.838,0.354,0.091,0.746,0.038,0.517,0.223,0.678,0.027,0.679,0.834,0.244,0.909,0.040,0.513,0.346,0.194,0.423,0.177,0.192,1.325,0.424,0.311,-
Kota Lhokseumawe,0.000,0.283,0.571,0.337,2.729,-,2.600,0.116,0.055,0.393,0.397,0.060,0.429,0.047,0.114,0.083,0.588,0.121,0.625,0.069,0.148,0.185,0.024,0.638,0.084,0.054,0.483,0.072,0.125,1.521,0.400,0.057,-
Kota Subulussalam,0.000,0.527,0.948,0.218,1.463,-,2.626,0.128,0.051,0.132,0.081,0.023,0.396,0.017,0.031,0.040,0.268,0.160,0.673,0.030,0.030,0.283,0.003,0.208,0.309,0.030,0.053,0.030,0.226,0.875,0.388,0.239,0.008
Nias,0.000,0.303,1.002,0.235,1.991,-,1.644,0.019,0.001,0.023,0.023,0.009,0.010,0.004,0.006,0.002,0.119,0.233,0.385,0.008,0.011,-,0.002,-,0.102,0.077,0.016,0.032,0.047,0.261,0.118,0.321,0.035
Mandailing Natal,0.000,0.584,2.436,0.253,1.640,-,5.408,0.221,0.276,0.143,0.088,0.007,0.995,0.104,0.051,0.324,0.205,0.098,0.773,0.020,0.020,0.276,0.010,0.063,0.120,0.035,0.055,0.124,0.201,1.576,0.282,0.279,0.003
Tapanuli Selatan,0.000,0.379,1.486,0.304,1.310,-,4.167,0.261,0.117,0.107,0.095,0.201,0.559,0.088,0.154,0.108,0.223,0.082,0.907,0.065,0.049,0.129,0.013,0.028,0.201,0.071,0.006,0.025,0.108,2.125,0.185,0.182,0.012
Tapanuli Tengah,0.000,0.138,1.386,0.275,0.867,-,2.197,0.198,0.042,0.405,0.063,0.363,0.309,0.028,0.044,0.057,0.416,0.049,0.613,0.082,0.019,0.010,0.002,0.035,0.137,0.012,0.057,0.035,0.095,0.838,0.227,0.144,0.030
Tapanuli Utara,0.000,0.205,0.708,0.262,0.551,-,2.186,0.013,0.047,0.343,0.023,0.018,0.126,0.006,0.001,0.061,0.381,0.017,0.649,0.011,0.014,0.005,0.000,0.017,0.117,0.009,0.015,0.011,0.109,0.939,0.071,0.038,0.229
Toba Samosir,0.000,0.173,0.893,0.430,0.935,-,2.982,0.049,0.039,0.467,0.061,0.230,0.087,0.137,0.135,0.060,1.011,0.026,1.050,0.144,0.128,0.219,0.012,0.029,0.093,0.117,0.034,0.070,0.062,0.888,0.199,0.078,0.439
Labuhan Batu,0.000,0.520,0.946,0.319,1.616,-,2.741,0.107,0.108,0.368,0.252,0.363,0.442,0.070,0.301,0.060,0.451,0.081,0.558,0.256,0.116,0.220,0.010,0.101,0.834,0.030,0.247,0.116,0.195,0.761,0.357,0.468,0.012
Asahan,0.000,0.516,1.526,0.471,1.507,-,3.471,0.069,0.066,0.771,0.136,0.106,0.407,0.077,0.260,0.024,0.532,0.059,0.894,0.259,0.103,0.389,0.011,0.145,0.563,0.090,0.280,0.496,0.204,0.714,0.370,0.566,0.010
Simalungun,0.000,0.285,1.003,0.322,1.171,-,3.170,0.086,0.079,0.608,0.069,0.078,0.470,0.027,0.114,0.032,0.467,0.038,0.687,0.109,0.058,0.478,0.006,0.092,0.499,0.029,0.047,0.152,0.156,1.297,0.324,0.101,0.154
Dairi,0.000,0.400,0.812,0.278,1.033,-,2.335,0.100,0.088,0.292,0.044,0.058,0.111,0.026,0.037,0.062,0.693,0.108,0.759,0.035,0.032,0.009,0.011,0.068,0.236,0.061,0.031,0.059,0.208,0.830,0.188,0.177,0.359
Karo,0.000,0.869,2.802,0.375,1.511,-,3.374,0.242,0.048,0.544,0.074,0.099,0.150,0.066,0.097,0.045,0.829,0.070,0.552,0.081,0.138,0.229,0.010,0.151,0.047,0.118,0.038,0.125,0.093,3.088,0.218,0.108,0.049
Deli Serdang,0.000,0.402,1.348,0.465,1.024,-,2.769,0.110,0.079,0.443,0.221,0.094,0.431,0.044,0.173,0.099,0.503,0.052,0.854,0.093,0.160,0.777,0.024,0.125,0.095,0.025,0.410,0.170,0.113,0.662,0.442,0.407,0.002
Langkat,0.000,0.295,1.139,0.284,1.183,-,3.146,0.068,0.059,0.587,0.110,0.067,0.470,0.041,0.195,0.037,0.406,0.042,0.594,0.186,0.107,0.905,0.007,0.536,0.346,0.045,0.207,0.104,0.375,0.911,0.305,0.424,0.005
Nias Selatan,0.000,0.163,0.410,0.079,1.698,-,0.837,0.006,-,-,0.023,0.012,0.020,0.002,-,0.023,0.077,0.037,0.217,0.001,0.007,0.002,-,0.001,0.077,0.002,0.008,0.029,0.017,0.120,0.024,0.054,0.053
Humbang Hasundutan,0.000,0.201,0.652,0.245,0.510,-,2.012,0.040,0.242,0.153,0.024,0.048,0.092,0.068,0.009,0.092,0.241,0.052,0.708,0.015,0.044,-,0.004,0.002,0.098,0.019,0.009,0.017,0.026,1.074,0.066,0.072,0.253
Pakpak Bharat,0.000,0.424,0.587,0.198,0.693,-,2.204,0.009,0.023,0.202,0.034,0.051,0.051,0.007,0.013,0.090,0.386,0.072,0.318,0.038,0.024,0.025,0.006,0.007,0.559,0.028,0.005,0.032,0.317,1.001,0.249,0.191,0.077
Samosir,0.000,0.306,0.818,0.355,0.149,-,2.448,0.057,0.017,0.100,0.049,0.062,0.030,0.042,0.009,0.028,0.703,0.020,0.958,0.026,0.040,0.056,0.005,-,0.359,0.047,0.012,0.046,0.064,0.781,0.092,0.031,0.368
Serdang Bedagai,0.000,0.298,1.549,0.349,1.206,-,3.417,0.070,0.062,0.866,0.128,0.098,0.837,0.039,0.195,0.042,0.427,0.031,0.705,0.136,0.121,0.802,0.006,0.060,0.769,0.066,0.189,0.043,0.046,0.691,0.281,0.929,0.027
Batu Bara,0.000,0.251,0.742,0.301,1.234,-,3.820,0.028,0.066,0.281,0.141,0.087,0.583,0.032,0.146,0.032,0.431,0.038,0.688,0.145,0.020,0.568,0.000,0.111,0.491,0.025,0.171,0.178,0.168,0.589,0.283,0.281,0.020
Padang Lawas Utara,0.000,0.161,1.200,0.299,1.140,-,3.998,0.099,0.153,0.322,0.049,0.077,0.278,0.021,0.012,0.173,0.307,0.118,0.942,0.011,0.027,0.246,0.002,0.016,0.236,0.093,0.127,0.122,0.295,2.073,0.251,0.358,0.012
Padang Lawas,0.000,0.232,0.978,0.275,1.293,-,5.872,0.073,0.317,0.244,0.097,0.051,0.526,0.017,0.037,0.198,0.522,0.051,1.080,0.009,0.021,0.129,0.008,0.148,0.076,0.080,0.097,0.034,0.332,2.496,0.203,0.513,0.012
Labuhan Batu Selatan,0.000,0.388,1.131,0.315,1.314,-,3.219,0.104,0.084,0.299,0.125,0.023,0.355,0.038,0.037,0.079,0.409,0.078,0.427,0.056,0.035,0.584,0.000,0.057,0.131,0.041,0.226,0.074,0.105,0.795,0.238,0.446,0.002
Labuhan Batu Utara,0.000,0.295,0.891,0.322,0.987,-,2.968,0.051,0.071,0.235,0.082,0.033,0.346,0.032,0.062,0.042,0.448,0.092,0.546,0.056,0.185,0.675,0.002,0.086,0.266,0.043,0.180,0.526,0.388,0.635,0.176,0.455,0.047
Nias Utara,0.000,0.510,0.644,0.362,1.845,-,1.641,0.041,0.006,0.001,0.026,0.022,0.063,0.004,0.005,0.002,0.167,0.107,0.532,0.020,0.007,0.001,0.005,-,0.011,0.012,0.048,0.073,0.059,0.314,0.228,0.101,0.027
Nias Barat,0.000,0.202,0.427,0.313,1.439,-,1.209,0.007,0.014,0.031,0.018,0.083,0.003,0.009,0.015,-,0.081,0.105,0.624,0.028,0.036,0.009,0.001,-,0.012,0.010,0.033,0.084,0.151,0.428,0.046,0.280,0.012
Kota Sibolga,0.000,0.180,1.570,0.129,1.504,-,2.247,0.195,0.079,1.225,0.240,0.010,1.044,0.044,0.105,0.228,0.474,0.065,0.190,0.210,0.063,0.358,0.018,0.109,0.043,0.025,0.097,0.229,0.116,0.656,0.100,0.342,0.002
Kota Tanjung Balai,0.000,0.616,1.404,0.608,1.297,-,3.203,0.120,0.073,0.795,0.474,0.032,0.807,0.058,0.249,0.072,0.381,0.102,1.192,0.353,0.064,0.738,0.026,0.096,0.267,0.041,0.363,0.068,0.403,0.949,0.381,0.765,0.005
Kota Pematang Siantar,0.000,0.619,1.511,0.391,1.093,-,2.560,0.335,0.085,0.658,0.169,0.014,0.889,0.050,0.143,0.065,0.822,0.057,0.581,0.292,0.141,0.221,0.059,0.250,0.269,0.036,0.037,0.150,0.114,0.660,0.422,0.141,0.072
Kota Tebing Tinggi,0.000,0.337,1.115,0.441,0.904,-,2.364,0.056,0.063,0.562,0.283,0.053,1.002,0.049,0.515,0.152,0.537,0.034,0.529,0.716,0.191,0.782,0.032,0.307,0.206,0.047,0.262,0.146,0.202,0.421,0.269,0.285,0.007
Kota Medan,0.000,0.714,1.360,0.525,1.381,-,2.890,0.245,0.162,0.575,0.318,0.196,0.849,0.118,0.340,0.137,0.632,0.086,0.801,0.429,0.280,0.745,0.069,0.118,0.201,0.136,0.435,0.272,0.221,0.667,0.360,0.436,0.005
Kota Binjai,0.000,0.313,1.047,0.278,0.711,-,2.017,0.066,0.044,0.524,0.210,0.042,0.624,0.038,0.155,0.067,0.557,0.031,0.638,0.087,0.103,0.740,0.021,0.071,0.144,0.012,0.456,0.047,0.083,0.427,0.222,0.404,0.002
Kota Padangsidimpuan,0.000,0.548,1.315,0.428,1.736,-,4.895,0.522,0.188,0.513,0.215,0.062,0.913,0.150,0.171,0.219,0.597,0.118,0.999,0.233,0.223,0.466,0.038,0.290,0.311,0.097,0.166,0.131,0.234,1.431,0.289,0.233,0.003
Kota Gunungsitoli,0.000,0.189,0.470,0.224,1.968,-,1.370,0.058,0.011,0.054,0.105,0.096,0.221,0.030,0.124,0.025,0.254,0.093,0.412,0.172,0.098,0.014,0.006,0.007,0.052,0.085,0.343,0.095,0.127,0.354,0.100,0.112,0.009
Kepulauan Mentawai,0.000,0.282,1.775,0.394,0.679,-,2.149,0.259,0.031,0.082,0.153,0.049,0.603,0.008,0.018,0.226,0.155,0.095,0.913,0.102,0.055,0.015,0.010,-,0.023,0.015,0.113,0.109,0.164,0.953,0.065,0.659,-
Pesisir Selatan,0.000,0.337,1.905,0.440,0.941,-,3.495,0.140,0.572,0.354,0.445,0.018,1.635,0.049,0.019,0.454,0.125,0.032,0.808,0.096,0.049,0.608,0.005,0.064,0.156,0.092,0.250,0.307,0.150,0.702,0.223,0.394,0.003
Solok,0.000,0.391,1.794,0.562,0.715,-,3.778,0.077,0.049,0.513,0.330,0.013,1.099,0.033,0.028,0.318,0.170,0.032,1.293,0.033,0.055,0.247,0.007,0.043,0.357,0.032,0.123,0.096,0.171,0.597,0.101,0.190,0.003
Sijunjung,0.000,0.517,1.642,0.295,0.582,-,3.878,0.172,0.218,0.658,0.587,0.060,0.640,0.080,0.008,0.358,0.399,0.042,1.592,0.014,0.130,0.730,0.012,0.042,0.249,0.040,0.268,0.416,0.394,0.425,0.131,0.146,-
Tanah Datar,0.000,0.442,1.351,0.454,1.066,-,3.433,0.195,0.171,0.469,0.441,0.057,1.071,0.087,0.043,0.399,0.273,0.069,0.824,0.078,0.118,0.719,0.012,0.077,0.274,0.124,0.137,0.512,0.108,0.874,0.266,0.064,0.000
Padang Pariaman,0.000,0.391,1.850,0.350,0.715,-,3.811,0.244,0.210,0.525,0.382,0.082,2.310,0.069,0.019,0.367,0.212,0.045,0.696,0.136,0.153,0.338,0.013,0.148,0.270,0.076,0.181,0.416,0.343,1.207,0.186,0.294,0.001
Agam,0.000,0.503,1.727,0.498,1.087,-,3.357,0.109,0.103,0.328,0.361,0.089,1.225,0.078,0.044,0.319,0.212,0.047,0.725,0.063,0.115,0.166,0.016,0.045,0.248,0.025,0.131,0.192,0.197,0.694,0.109,0.146,-
Lima Puluh Kota,0.000,0.170,2.224,0.441,1.399,-,4.008,0.167,0.090,0.422,0.684,0.042,1.150,0.068,0.042,0.352,0.280,0.050,1.205,0.025,0.069,0.956,0.008,0.034,0.317,0.021,0.178,0.857,0.219,1.241,0.134,0.194,-
Pasaman,0.000,0.298,2.042,0.438,0.660,-,3.413,0.162,0.191,0.159,0.315,0.085,1.180,0.054,0.011,0.391,0.235,0.048,0.852,0.036,0.045,0.590,0.006,0.074,0.284,0.073,0.131,0.150,0.129,1.355,0.171,0.183,0.001
Solok Selatan,0.000,0.199,1.388,0.268,0.480,-,3.633,0.074,0.203,0.273,0.444,0.113,0.751,0.039,0.028,0.638,0.212,0.036,0.813,0.044,0.074,0.535,0.003,0.059,0.086,0.049,0.059,0.106,0.096,0.226,0.140,0.081,-
Dharmasraya,0.000,0.328,1.547,0.348,0.669,-,3.936,0.167,0.332,0.358,0.511,0.136,0.768,0.090,0.074,0.434,0.355,0.037,0.733,0.040,0.127,1.011,0.008,0.144,0.132,0.111,0.184,0.415,0.136,0.457,0.304,0.248,0.000
Pasaman Barat,0.000,0.403,1.861,0.336,0.816,-,3.809,0.169,0.284,0.069,0.346,0.089,1.053,0.103,0.070,0.477,0.267,0.033,0.904,0.053,0.089,0.055,0.009,0.140,0.099,0.032,0.140,0.100,0.323,0.927,0.171,0.334,0.003
Kota Padang,0.000,0.637,1.475,0.395,0.983,-,3.357,0.177,0.297,0.995,0.699,0.126,1.529,0.144,0.107,0.491,0.376,0.071,0.564,0.259,0.484,0.516,0.040,0.158,0.181,0.240,0.423,0.444,0.186,0.963,0.320,0.234,0.002
Kota Solok,0.000,0.372,1.968,0.756,0.924,-,4.432,0.137,0.078,0.688,0.710,0.005,1.151,0.089,0.042,0.173,0.291,0.034,1.557,0.092,0.156,0.880,0.024,0.243,0.267,0.089,0.350,0.275,0.132,0.476,0.196,0.154,-
Kota Sawah Lunto,0.000,0.454,1.349,0.480,1.242,-,3.984,0.144,0.139,0.610,0.481,0.029,1.146,0.112,0.039,0.263,0.416,0.049,0.880,0.032,0.114,0.723,0.033,0.061,0.155,0.091,0.289,0.386,0.122,0.496,0.223,0.066,0.000
Kota Padang Panjang,0.000,0.676,1.703,0.499,1.298,-,4.219,0.174,0.141,0.857,0.405,0.101,1.108,0.057,0.041,0.256,0.298,0.053,0.908,0.097,0.319,0.551,0.026,0.058,0.333,0.145,0.234,0.517,0.129,0.821,0.281,0.134,0.002
Kota Bukittinggi,0.000,1.058,1.880,0.665,1.462,-,3.759,0.183,0.174,0.823,0.506,0.036,1.077,0.172,0.084,0.241,0.438,0.055,1.025,0.213,0.396,0.312,0.046,0.077,0.236,0.086,0.320,0.181,0.205,0.596,0.212,0.201,-
Kota Payakumbuh,0.000,0.979,1.605,0.345,1.907,-,4.098,0.244,0.191,1.256,0.954,0.054,1.202,0.154,0.115,0.193,0.419,0.053,0.388,0.225,0.358,1.323,0.034,0.024,0.145,0.188,0.239,0.438,0.306,1.296,0.249,0.217,-
Kota Pariaman,0.000,0.896,1.547,0.608,1.270,-,4.649,0.333,0.516,0.936,0.685,0.387,2.636,0.085,0.062,0.336,0.311,0.069,0.908,0.574,0.437,0.433,0.035,0.300,0.416,0.269,0.279,0.798,0.542,1.218,0.213,0.177,-
Kuantan Singingi,0.000,0.312,1.203,0.341,0.970,-,2.760,0.039,0.071,0.376,0.188,0.013,0.572,0.071,0.037,0.378,0.311,0.077,1.034,0.022,0.070,0.782,0.008,0.185,0.172,0.040,0.120,0.265,0.221,0.515,0.186,0.135,0.001
Indragiri Hulu,0.000,0.224,0.738,0.200,1.318,-,2.896,0.028,0.071,0.425,0.159,0.036,0.797,0.100,0.029,0.348,0.287,0.028,0.584,0.043,0.061,0.939,0.013,0.116,0.189,0.061,0.285,0.499,0.093,0.387,0.138,0.282,0.012
Indragiri Hilir,0.000,0.233,0.763,0.342,1.251,-,2.136,0.033,0.106,0.693,0.152,0.090,0.549,0.296,0.111,0.108,0.173,0.068,0.587,0.102,0.089,0.388,0.015,0.043,0.203,0.022,0.133,0.341,0.206,0.814,0.144,0.698,0.001
Pelalawan,0.000,0.433,0.959,0.280,0.681,-,2.355,0.087,0.071,0.350,0.155,0.016,0.568,0.050,0.028,0.256,0.386,0.071,0.956,0.037,0.039,0.399,0.051,0.117,0.170,0.044,0.401,0.313,0.095,0.511,0.263,0.167,0.010
Siak,0.000,0.351,1.316,0.349,0.946,-,2.577,0.048,0.069,0.297,0.172,0.143,0.770,0.075,0.113,0.207,0.340,0.022,0.601,0.094,0.168,0.820,0.014,0.195,0.044,0.100,0.494,0.403,0.217,0.360,0.223,0.239,0.001
Kampar,0.000,0.295,1.132,0.218,0.857,-,2.887,0.062,0.126,0.352,0.312,0.043,0.758,0.061,0.016,0.524,0.337,0.069,0.547,0.015,0.025,0.511,0.030,0.155,0.215,0.104,0.217,0.300,0.159,0.574,0.219,0.128,0.004
Rokan Hulu,0.000,0.289,0.984,0.253,0.791,-,3.041,0.063,0.198,0.182,0.280,0.033,0.416,0.081,0.041,0.329,0.409,0.059,0.684,0.014,0.043,0.320,0.022,0.397,0.085,0.054,0.231,0.172,0.152,0.483,0.171,0.196,0.002
Bengkalis,0.000,0.417,0.863,0.304,1.959,-,2.712,0.057,0.115,0.385,0.125,0.007,0.754,0.048,0.046,0.124,0.360,0.043,0.724,0.069,0.110,0.480,0.009,0.108,0.176,0.054,0.334,0.160,0.232,0.609,0.189,0.273,0.004
Rokan Hilir,0.000,0.282,1.058,0.204,1.119,-,3.045,0.036,0.083,0.242,0.186,0.045,0.424,0.048,0.042,0.165,0.548,0.094,0.818,0.030,0.050,0.863,0.024,0.081,0.168,0.033,0.187,0.148,0.189,0.557,0.195,0.908,0.018
Kepulauan Meranti,0.000,0.472,0.911,0.403,1.911,-,2.104,0.033,0.215,0.236,0.149,0.034,0.931,0.092,0.044,0.074,0.220,0.049,0.573,0.059,0.117,0.456,0.020,0.020,0.039,0.052,0.072,0.186,0.118,0.845,0.129,0.852,0.009
Kota Pekanbaru,0.000,0.613,1.448,0.423,1.429,-,2.871,0.110,0.185,1.328,0.423,0.080,1.292,0.217,0.066,0.287,0.470,0.095,0.487,0.159,0.386,0.644,0.086,0.157,0.330,0.221,0.557,0.320,0.187,0.679,0.308,0.315,0.002
Kota Dumai,0.000,0.337,0.998,0.293,1.099,-,2.483,0.059,0.058,0.740,0.234,0.031,0.725,0.082,0.108,0.133,0.364,0.061,0.653,0.127,0.202,0.976,0.026,0.124,0.294,0.077,0.559,0.170,0.192,0.494,0.439,0.384,0.006
Kerinci,0.000,0.228,1.438,0.510,1.448,-,3.680,0.156,0.315,0.175,0.240,0.071,0.989,0.048,0.022,0.297,0.201,0.058,0.951,0.015,0.059,0.536,0.007,0.113,0.205,0.015,0.115,0.375,0.051,0.253,0.078,0.108,-
Merangin,0.000,0.177,1.202,0.316,0.800,-,2.647,0.065,0.287,0.251,0.173,0.229,0.476,0.116,0.079,0.286,0.295,0.043,0.607,0.060,0.182,0.492,0.011,0.072,0.058,0.124,0.060,0.313,0.266,0.456,0.139,0.206,-
Sarolangun,0.000,0.208,0.797,0.152,0.528,-,2.791,0.035,0.192,0.294,0.120,0.065,0.188,0.038,0.054,0.159,0.275,0.022,0.489,0.028,0.093,0.726,0.010,0.094,0.340,0.047,0.045,0.386,0.157,0.221,0.139,0.181,-
Batang Hari,0.000,0.196,1.101,0.250,1.339,-,2.664,0.055,0.232,0.649,0.099,0.115,0.335,0.082,0.034,0.191,0.223,0.054,0.533,0.028,0.115,0.652,0.012,0.060,0.263,0.149,0.072,0.435,0.487,0.411,0.119,0.255,0.004
Muaro Jambi,0.000,0.232,1.244,0.199,0.913,-,2.802,0.033,0.190,0.381,0.155,0.049,0.265,0.060,0.037,0.143,0.381,0.052,0.720,0.010,0.112,0.414,0.016,0.092,0.188,0.084,0.111,0.275,0.056,0.337,0.141,0.225,0.009
