Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
Simeulue,0.000,0.134,0.438,0.206,3.735,1.732,0.030,0.047,0.007,0.021,0.078,0.111,0.559,0.005,0.052,0.126,0.395,0.167,0.503,0.112,0.029,0.022,0.007,0.052,0.007,0.017,0.399,0.034,0.089,1.690,0.161,0.092,0.000
Aceh Singkil,0.000,0.479,0.759,0.187,1.732,2.513,0.064,0.078,0.107,0.147,0.213,0.018,0.164,0.041,0.067,0.146,0.319,0.143,0.616,0.060,0.034,0.391,0.005,0.115,0.021,0.023,0.176,0.024,0.046,0.631,0.266,0.266,0.000
Aceh Selatan,0.000,0.067,0.600,0.239,2.252,2.361,0.053,0.035,0.023,0.246,0.032,0.026,0.094,0.011,0.014,0.041,0.499,0.103,0.537,0.017,0.016,0.045,-,0.094,0.080,0.023,0.215,0.186,0.081,1.236,0.213,0.128,-
Aceh Tenggara,0.000,0.181,0.708,0.382,1.450,2.639,0.051,0.089,0.035,0.072,0.134,0.023,0.572,0.013,0.028,0.101,0.452,0.065,0.642,0.016,0.018,0.346,0.019,0.252,0.047,0.031,0.147,0.090,0.055,1.349,0.228,0.073,0.041
Aceh Timur,0.000,0.274,0.782,0.290,3.052,3.183,0.156,0.231,0.096,0.435,0.331,0.055,0.547,0.014,0.058,0.052,0.673,0.143,0.711,0.045,0.073,0.215,0.026,0.289,0.088,0.073,0.112,0.245,0.129,2.333,0.474,0.162,0.004
Aceh Tengah,0.000,0.374,1.171,0.591,2.188,3.288,0.106,0.103,0.070,0.330,0.128,0.013,0.240,0.023,0.034,0.089,0.606,0.064,1.068,0.027,0.034,0.749,0.031,0.472,0.120,0.046,0.102,0.029,0.142,0.450,0.172,0.032,-
Aceh Barat,0.000,0.352,1.735,0.330,4.302,4.296,0.136,0.104,0.043,0.623,0.301,0.046,0.155,0.085,0.150,0.072,0.920,0.168,0.819,0.025,0.054,0.241,0.006,0.134,0.086,0.092,0.288,0.215,0.243,2.533,0.259,0.438,-
Aceh Besar,0.000,0.408,0.961,0.332,3.475,2.603,0.114,0.065,0.032,0.165,0.298,0.239,0.306,0.014,0.045,0.061,0.530,0.137,0.458,0.163,0.130,0.346,0.036,0.558,0.025,0.123,0.359,0.270,0.255,1.795,0.342,0.101,-
Pidie,0.000,0.220,0.617,0.341,3.120,3.552,0.238,0.193,0.081,0.276,0.383,0.016,0.347,0.006,0.089,0.070,0.899,0.105,0.488,0.014,0.029,0.149,0.007,0.246,0.040,0.070,0.216,0.087,0.137,2.955,0.401,0.123,0.001
