Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
Bireuen,0.000,0.232,1.127,0.525,4.919,3.323,0.232,0.152,0.069,0.668,0.472,0.110,0.561,0.014,0.111,0.047,0.903,0.176,0.764,0.139,0.066,0.395,0.012,0.500,0.144,0.189,0.169,0.120,0.310,2.807,0.543,0.228,0.000
Aceh Utara,0.000,0.307,0.630,0.199,3.392,2.767,0.024,0.151,0.034,0.052,0.267,0.138,0.323,0.020,0.040,0.030,0.652,0.085,0.710,0.006,0.025,0.071,0.015,0.443,0.024,0.037,0.114,0.078,0.093,2.152,0.362,0.103,0.000
Aceh Barat Daya,0.000,0.161,0.508,0.370,2.031,2.907,0.105,0.058,0.013,0.565,0.250,0.013,0.126,0.019,0.043,0.083,0.722,0.142,0.689,0.024,0.005,0.144,0.005,0.191,0.162,0.209,0.203,0.149,0.173,1.288,0.208,0.117,0.001
Gayo Lues,0.000,0.434,1.037,0.752,1.501,3.675,0.075,0.136,0.128,0.347,0.131,0.282,0.595,0.022,0.105,0.161,0.376,0.124,1.115,0.096,0.050,0.665,0.039,0.159,0.048,0.055,0.203,0.026,0.060,0.623,0.390,0.072,0.001
Aceh Tamiang,0.000,0.197,1.070,0.485,1.138,2.259,0.026,0.049,0.044,0.344,0.161,0.107,0.509,0.034,0.169,0.142,0.445,0.036,0.667,0.135,0.125,0.772,0.021,0.558,0.063,0.127,0.448,0.142,0.273,0.782,0.264,0.080,-
Nagan Raya,0.000,0.414,0.834,0.316,2.551,3.323,0.128,0.270,0.082,0.722,0.323,0.054,0.161,0.025,0.036,0.143,0.671,0.209,0.586,0.029,0.024,0.169,0.035,0.340,0.027,0.056,0.183,0.134,0.233,1.761,0.331,0.297,0.004
Aceh Jaya,0.000,0.446,0.774,0.393,3.944,3.188,0.080,0.130,0.048,0.530,0.220,0.147,0.112,0.020,0.071,0.077,0.528,0.193,0.740,0.066,0.054,0.192,0.008,0.402,0.097,0.149,0.169,0.404,0.225,2.069,0.333,0.170,-
Bener Meriah,0.000,0.471,1.226,0.334,3.121,3.971,0.114,0.147,0.061,0.408,0.123,0.309,0.272,0.021,0.130,0.067,0.611,0.159,0.651,0.050,0.040,0.978,0.029,0.382,0.033,0.017,0.038,0.028,0.203,1.287,0.280,0.073,0.002
Pidie Jaya,0.000,0.291,0.959,0.693,5.283,4.383,0.181,0.352,0.109,0.194,0.492,0.089,0.552,0.006,0.015,0.073,1.079,0.119,0.477,0.016,0.035,0.101,0.018,0.453,0.617,0.105,0.186,0.225,0.255,3.117,0.429,0.146,0.000
Kota Banda Aceh,0.000,0.521,0.562,0.410,3.228,1.828,0.106,0.130,0.092,0.766,0.428,0.174,0.386,0.056,0.126,0.144,0.521,0.077,0.546,0.224,0.210,0.383,0.096,0.471,0.237,0.161,0.638,0.284,0.350,1.544,0.279,0.122,-
Kota Sabang,0.000,0.404,0.722,0.686,4.845,2.971,0.181,0.158,0.061,0.642,0.579,0.087,0.416,0.052,0.235,0.073,0.669,0.079,0.536,0.354,0.139,0.720,0.098,0.405,0.281,0.153,0.543,0.083,0.231,1.855,0.311,0.294,-
Kota Langsa,0.000,0.224,0.863,0.368,1.715,2.429,0.265,0.077,0.033,0.640,0.295,0.083,0.484,0.043,0.433,0.197,0.608,0.041,0.455,0.769,0.213,0.612,0.028,0.300,0.315,0.088,0.478,0.115,0.167,0.989,0.198,0.162,0.000
Kota Lhokseumawe,0.000,0.315,0.523,0.243,2.336,2.248,0.065,0.098,0.062,0.297,0.288,0.155,0.463,0.035,0.158,0.090,0.540,0.068,0.409,0.112,0.214,0.300,0.037,0.393,0.236,0.055,0.474,0.091,0.061,1.322,0.235,0.289,0.001
Kota Subulussalam,0.000,0.423,0.902,0.240,1.562,3.040,0.068,0.120,0.043,0.299,0.115,0.022,0.339,0.042,0.017,0.120,0.500,0.133,1.210,0.015,0.045,0.513,0.016,0.096,0.143,0.075,0.119,0.051,0.226,0.700,0.363,0.168,0.002
Nias,0.000,0.103,0.284,0.159,1.438,1.183,0.030,0.060,0.004,0.025,0.043,0.015,0.018,0.006,0.027,0.006,0.143,0.139,0.360,0.008,0.027,0.001,0.006,-,0.005,0.043,0.081,0.033,0.070,0.371,0.098,0.115,0.006
Mandailing Natal,0.000,0.311,1.844,0.301,1.388,3.735,0.081,0.117,0.233,0.130,0.109,0.223,0.675,0.162,0.119,0.300,0.285,0.080,1.259,0.036,0.048,0.806,0.009,0.138,0.239,0.030,0.067,0.086,0.153,1.899,0.169,0.243,0.000
Tapanuli Selatan,0.000,0.393,1.346,0.320,1.120,3.312,0.081,0.284,0.174,0.196,0.096,0.167,0.413,0.111,0.090,0.168,0.262,0.112,0.673,0.042,0.119,0.375,0.009,0.086,0.148,0.052,0.042,0.046,0.205,1.724,0.209,0.213,0.020
Tapanuli Tengah,0.000,0.429,0.883,0.315,0.930,2.293,0.035,0.090,0.076,0.193,0.081,0.263,0.651,0.035,0.136,0.076,0.377,0.066,0.630,0.243,0.077,0.337,0.002,0.058,0.133,0.030,0.129,0.177,0.243,0.919,0.223,0.157,0.031
Tapanuli Utara,0.000,0.266,1.003,0.292,1.101,1.861,0.061,0.037,0.069,0.182,0.037,0.087,0.187,0.053,0.028,0.113,0.318,0.017,0.601,0.022,0.033,0.013,0.002,0.012,0.199,0.029,0.003,0.122,0.036,0.563,0.109,0.085,0.249
Toba Samosir,0.000,0.337,1.062,0.443,0.856,2.244,0.151,0.122,0.073,0.135,0.089,1.237,0.191,0.162,0.204,0.162,0.783,0.052,0.654,0.341,0.072,0.124,0.038,0.076,0.251,0.045,0.060,0.069,0.095,0.982,0.183,0.045,0.416
Labuhan Batu,0.000,0.207,0.699,0.338,0.983,2.129,0.049,0.068,0.081,0.237,0.155,0.049,0.265,0.054,0.121,0.082,0.441,0.063,0.356,0.123,0.036,0.205,0.004,0.082,0.319,0.041,0.334,0.070,0.142,0.690,0.175,0.142,0.020
Asahan,0.000,0.444,0.917,0.317,1.211,2.547,0.120,0.048,0.060,0.453,0.172,0.091,0.310,0.056,0.165,0.075,0.483,0.049,0.577,0.105,0.084,0.459,0.003,0.051,0.545,0.028,0.290,0.096,0.058,0.438,0.226,0.318,0.016
Simalungun,0.000,0.380,1.122,0.233,1.089,2.651,0.123,0.120,0.095,0.391,0.096,0.105,0.357,0.037,0.160,0.035,0.461,0.040,0.495,0.077,0.112,0.592,0.007,0.084,0.307,0.039,0.040,0.117,0.233,1.203,0.169,0.154,0.085
Dairi,0.000,0.252,0.752,0.378,0.738,1.938,0.049,0.107,0.054,0.265,0.034,0.041,0.124,0.026,0.033,0.111,0.513,0.070,0.667,0.026,0.023,0.052,0.010,0.106,0.393,0.021,0.027,0.080,0.115,0.775,0.202,0.093,0.208
Karo,0.000,0.717,1.842,0.304,1.229,2.430,0.024,0.173,0.109,0.224,0.135,0.181,0.226,0.074,0.073,0.046,0.437,0.065,0.488,0.107,0.062,0.345,0.029,0.434,0.017,0.075,0.046,0.090,0.154,2.089,0.226,0.047,0.041
Deli Serdang,0.000,0.589,1.122,0.365,1.193,1.989,0.062,0.204,0.075,0.342,0.253,0.099,0.522,0.088,0.291,0.101,0.465,0.070,0.427,0.145,0.238,0.908,0.058,0.154,0.096,0.171,0.469,0.055,0.095,0.482,0.348,0.355,0.006
Langkat,0.000,0.222,1.006,0.308,0.905,1.877,0.071,0.134,0.083,0.337,0.157,0.209,0.354,0.041,0.369,0.098,0.414,0.051,0.563,0.191,0.140,1.013,0.024,0.305,0.162,0.022,0.267,0.051,0.063,0.569,0.264,0.314,0.001
Nias Selatan,0.000,0.062,0.289,0.270,0.970,0.827,0.036,0.006,0.003,0.012,0.026,0.019,0.022,0.002,0.006,0.001,0.089,0.068,0.106,0.003,0.001,-,0.001,-,0.008,0.020,0.038,0.031,0.021,0.132,0.025,0.051,0.007
Humbang Hasundutan,0.000,0.186,0.513,0.246,0.352,1.481,0.096,0.018,0.071,0.117,0.031,0.014,0.032,0.011,0.004,0.046,0.296,0.011,0.601,0.008,0.020,0.053,0.001,0.039,0.146,0.008,0.004,0.009,0.108,0.834,0.084,0.032,0.124
Pakpak Bharat,0.000,0.732,0.717,0.304,0.626,2.320,0.050,0.042,0.038,0.389,0.033,0.020,0.070,0.016,0.024,0.150,0.416,0.049,0.771,0.028,0.019,0.122,0.002,0.079,0.099,0.072,0.004,0.031,0.169,0.722,0.214,0.095,0.204
Samosir,0.000,0.167,0.940,0.324,0.774,1.923,0.283,0.048,0.027,0.267,0.059,0.094,0.036,0.016,0.081,0.048,0.532,0.054,0.543,0.120,0.072,0.269,0.005,0.015,0.146,0.043,0.069,0.072,0.224,0.786,0.098,0.020,0.280
Serdang Bedagai,0.000,0.338,1.226,0.347,0.717,2.867,0.125,0.036,0.038,0.407,0.116,0.073,0.652,0.041,0.265,0.083,0.445,0.018,0.848,0.110,0.126,0.987,0.001,0.104,0.738,0.066,0.192,0.063,0.105,0.549,0.240,0.712,0.022
Batu Bara,0.000,0.547,0.919,0.343,0.926,2.875,0.065,0.036,0.095,0.363,0.170,0.028,0.626,0.043,0.189,0.093,0.425,0.041,0.796,0.113,0.101,0.644,0.011,0.075,0.302,0.025,0.215,0.090,0.142,0.470,0.247,0.299,0.018
Padang Lawas Utara,0.000,0.304,1.193,0.449,1.205,4.014,0.098,0.032,0.275,0.295,0.126,0.092,0.227,0.041,0.038,0.277,0.398,0.117,1.262,0.032,0.014,0.409,0.002,0.019,0.380,0.051,0.123,0.073,0.250,1.854,0.287,0.830,0.005
Padang Lawas,0.000,0.200,1.072,0.301,1.641,4.775,0.062,0.085,0.499,0.063,0.160,0.019,0.413,0.079,0.058,0.315,0.423,0.082,1.386,0.012,0.065,0.938,0.006,0.206,0.093,0.018,0.103,0.096,0.426,2.097,0.251,0.491,-
Labuhan Batu Selatan,0.000,0.304,0.747,0.383,1.092,2.520,0.164,0.048,0.081,0.183,0.163,0.065,0.246,0.045,0.095,0.061,0.533,0.056,0.534,0.038,0.071,0.709,0.003,0.142,0.293,0.024,0.285,0.021,0.080,0.575,0.248,0.573,0.003
Labuhan Batu Utara,0.000,0.236,1.032,0.164,1.650,3.040,0.095,0.059,0.047,0.377,0.141,0.045,0.238,0.044,0.062,0.029,0.489,0.103,0.697,0.032,0.071,0.911,0.002,0.042,0.040,0.038,0.197,0.038,0.298,0.806,0.226,0.472,0.041
Nias Utara,0.000,0.241,0.220,0.140,2.118,1.180,0.030,0.014,0.001,0.010,0.025,0.035,0.016,0.005,0.008,0.001,0.144,0.095,0.484,0.013,0.024,0.001,0.001,0.003,0.007,0.020,0.225,0.038,0.019,0.140,0.159,0.079,0.020
Nias Barat,0.000,0.133,0.406,0.145,0.895,1.216,0.068,0.020,0.002,-,0.023,0.167,0.008,0.002,0.080,0.004,0.067,0.111,0.262,0.071,0.040,0.001,0.002,0.000,0.018,0.012,0.038,0.040,0.094,0.465,0.147,0.047,0.002
Kota Sibolga,0.000,0.275,1.538,0.242,1.112,2.303,0.064,0.196,0.080,1.403,0.255,0.020,1.082,0.036,0.137,0.218,0.574,0.043,0.314,0.384,0.053,0.784,0.031,0.189,0.062,0.031,0.081,0.090,0.201,0.808,0.210,0.122,0.006
Kota Tanjung Balai,0.000,0.372,1.144,0.397,1.307,2.714,0.239,0.199,0.159,0.905,0.506,0.141,0.710,0.107,0.282,0.139,0.396,0.146,0.659,0.250,0.276,0.862,0.075,0.132,0.234,0.069,0.525,0.067,0.156,0.694,0.310,0.428,0.002
Kota Pematang Siantar,0.000,0.524,0.995,0.498,0.913,1.477,0.069,0.177,0.082,0.424,0.150,0.021,0.538,0.062,0.201,0.059,0.563,0.038,0.334,0.338,0.146,0.381,0.036,0.180,0.173,0.045,0.043,0.070,0.048,0.552,0.180,0.115,0.059
Kota Tebing Tinggi,0.000,0.253,0.961,0.435,1.006,1.871,0.114,0.068,0.080,0.506,0.193,0.108,0.866,0.084,0.496,0.097,0.368,0.060,0.700,0.811,0.225,0.859,0.091,0.276,0.124,0.120,0.291,0.066,0.246,0.655,0.195,0.255,0.033
Kota Medan,0.000,0.788,1.278,0.509,1.262,2.060,0.144,0.274,0.103,0.421,0.259,0.122,0.647,0.125,0.262,0.118,0.501,0.105,0.677,0.266,0.239,0.895,0.095,0.106,0.267,0.063,0.511,0.137,0.210,0.494,0.293,0.321,0.008
Kota Binjai,0.000,0.343,0.962,0.198,0.685,1.887,0.020,0.111,0.031,0.335,0.239,0.021,0.688,0.045,0.171,0.093,0.545,0.033,0.924,0.128,0.158,0.443,0.055,0.086,0.125,0.044,0.508,0.051,0.074,0.348,0.203,0.168,0.000
Kota Padangsidimpuan,0.000,0.278,1.080,0.331,1.438,3.622,0.142,0.334,0.187,0.109,0.188,0.401,0.647,0.109,0.321,0.172,0.345,0.062,0.965,0.276,0.315,0.727,0.031,0.166,0.298,0.104,0.100,0.078,0.125,1.341,0.242,0.168,0.001
Kota Gunungsitoli,0.000,0.104,0.420,0.057,1.478,1.198,0.023,0.050,0.004,0.008,0.058,0.086,0.079,0.018,0.027,0.007,0.149,0.082,0.328,0.024,0.009,0.010,0.015,0.016,0.013,0.027,0.303,0.119,0.282,0.319,0.148,0.038,0.019
Kepulauan Mentawai,0.000,0.273,1.345,0.439,0.280,1.806,0.188,0.132,0.013,0.033,0.150,0.056,0.293,0.033,0.011,0.092,0.069,0.086,0.547,0.077,0.032,0.020,0.002,0.012,0.011,0.029,0.071,0.112,0.095,0.944,0.045,0.274,0.000
Pesisir Selatan,0.000,0.137,1.608,0.289,0.973,3.116,0.093,0.129,0.671,0.257,0.396,0.068,1.148,0.053,0.011,0.411,0.186,0.032,0.755,0.048,0.042,1.079,0.006,0.049,0.130,0.027,0.368,0.271,0.270,0.410,0.165,0.403,-
Solok,0.000,0.219,1.396,0.386,0.737,3.879,0.211,0.104,0.111,0.250,0.193,0.045,1.043,0.038,0.011,0.283,0.220,0.033,0.924,0.024,0.068,0.811,0.004,0.066,0.061,0.049,0.146,0.149,0.149,0.304,0.191,0.097,-
Sijunjung,0.000,0.208,1.510,0.274,0.491,3.330,0.036,0.058,0.178,0.265,0.471,0.029,0.589,0.059,0.022,0.395,0.311,0.030,0.753,0.009,0.085,0.667,0.003,0.110,0.070,0.058,0.294,0.304,0.148,0.252,0.226,0.237,-
Tanah Datar,0.000,0.360,1.299,0.573,1.239,3.371,0.057,0.133,0.176,0.375,0.387,0.186,1.029,0.066,0.108,0.341,0.298,0.054,0.749,0.079,0.298,1.086,0.007,0.071,0.258,0.050,0.168,0.294,0.267,0.829,0.179,0.180,-
Padang Pariaman,0.000,0.111,1.361,0.302,0.511,3.675,0.247,0.235,0.176,0.503,0.295,0.107,2.221,0.044,0.025,0.307,0.213,0.041,1.026,0.098,0.121,0.830,0.014,0.130,0.128,0.068,0.117,0.201,0.099,1.183,0.165,0.294,-
Agam,0.000,0.441,1.581,0.461,0.795,2.753,0.028,0.147,0.113,0.273,0.299,0.113,0.994,0.103,0.033,0.360,0.240,0.069,0.634,0.077,0.193,0.689,0.030,0.176,0.064,0.035,0.204,0.152,0.112,0.703,0.228,0.118,-
Lima Puluh Kota,0.000,0.139,1.970,0.457,1.473,3.880,0.091,0.266,0.095,0.343,0.593,0.070,0.947,0.078,0.065,0.405,0.334,0.034,0.783,0.045,0.182,1.617,0.004,0.026,0.182,0.018,0.185,0.708,0.214,1.199,0.205,0.193,0.001
Pasaman,0.000,0.291,2.170,0.293,0.632,3.369,0.042,0.114,0.168,0.436,0.299,0.015,0.913,0.067,0.031,0.371,0.315,0.050,0.809,0.034,0.088,0.723,0.002,0.084,0.298,0.020,0.176,0.162,0.285,1.192,0.156,0.264,-
Solok Selatan,0.000,0.423,1.345,0.169,0.514,3.712,0.093,0.128,0.202,0.222,0.178,0.035,0.725,0.035,0.012,0.466,0.217,0.040,0.736,0.003,0.064,0.770,0.004,0.057,0.103,0.009,0.113,0.079,0.046,0.207,0.179,0.208,-
Dharmasraya,0.000,0.230,1.219,0.322,0.726,2.688,0.056,0.080,0.198,0.258,0.309,0.230,0.568,0.074,0.080,0.380,0.399,0.012,0.739,0.061,0.253,1.379,0.023,0.135,0.126,0.045,0.235,0.387,0.190,0.447,0.164,0.428,-
Pasaman Barat,0.000,0.399,2.457,0.425,1.036,3.294,0.050,0.188,0.360,0.061,0.393,0.069,0.997,0.102,0.091,0.434,0.310,0.134,0.901,0.092,0.182,0.513,0.003,0.060,0.054,0.062,0.265,0.121,0.149,1.419,0.233,0.306,-
Kota Padang,0.000,0.798,1.093,0.497,0.696,1.996,0.112,0.146,0.245,0.755,0.366,0.070,1.287,0.097,0.048,0.367,0.276,0.066,0.500,0.083,0.299,0.632,0.052,0.100,0.151,0.118,0.428,0.267,0.233,0.534,0.273,0.199,-
Kota Solok,0.000,0.575,1.277,0.520,1.158,3.613,0.092,0.243,0.122,0.630,0.608,0.027,1.287,0.112,0.052,0.211,0.297,0.050,0.931,0.044,0.146,1.269,0.080,0.157,0.300,0.080,0.399,0.168,0.131,0.516,0.275,0.320,-
Kota Sawah Lunto,0.000,0.480,0.760,0.414,0.781,3.062,0.021,0.139,0.149,0.446,0.296,0.086,0.755,0.090,0.042,0.227,0.313,0.054,0.443,0.027,0.127,0.704,0.042,0.074,0.125,0.068,0.400,0.292,0.099,0.481,0.260,0.143,-
Kota Padang Panjang,0.000,1.237,1.513,0.366,1.251,2.974,0.137,0.178,0.150,0.519,0.313,0.134,1.108,0.074,0.038,0.269,0.297,0.121,0.718,0.121,0.354,0.905,0.069,0.172,0.209,0.104,0.262,0.281,0.151,0.655,0.256,0.136,-
Kota Bukittinggi,0.000,1.056,1.245,0.461,0.815,2.313,0.109,0.159,0.158,0.680,0.329,0.033,0.904,0.134,0.063,0.153,0.288,0.049,0.620,0.142,0.275,0.643,0.070,0.205,0.247,0.186,0.345,0.137,0.129,0.459,0.270,0.097,-
Kota Payakumbuh,0.000,0.486,1.471,0.400,1.308,3.373,0.037,0.203,0.169,0.984,0.641,0.023,1.040,0.118,0.162,0.183,0.359,0.036,0.633,0.222,0.492,1.596,0.023,0.039,0.302,0.053,0.257,0.336,0.368,0.977,0.235,0.212,-
Kota Pariaman,0.000,0.325,1.692,0.354,1.178,3.052,0.153,0.409,0.417,0.576,0.404,0.226,2.373,0.105,0.030,0.319,0.259,0.050,0.681,0.231,0.263,0.755,0.070,0.214,0.119,0.129,0.279,0.379,0.174,1.030,0.204,0.192,0.001
Kuantan Singingi,0.000,0.380,1.269,0.215,0.789,2.804,0.081,0.064,0.049,0.269,0.170,0.038,0.760,0.127,0.058,0.487,0.324,0.136,0.682,0.032,0.090,1.009,0.018,0.125,0.086,0.050,0.295,0.184,0.208,0.472,0.271,0.123,0.001
Indragiri Hulu,0.000,0.189,0.902,0.228,1.087,2.242,0.062,0.028,0.073,0.396,0.091,0.018,0.538,0.067,0.039,0.215,0.312,0.028,0.583,0.031,0.075,1.438,0.025,0.095,0.037,0.014,0.363,0.170,0.099,0.407,0.212,0.336,0.011
Indragiri Hilir,0.000,0.330,0.820,0.301,1.283,1.978,0.117,0.044,0.147,0.378,0.165,0.216,0.340,0.144,0.049,0.103,0.180,0.074,0.434,0.074,0.072,0.546,0.034,0.059,0.216,0.115,0.174,0.213,0.196,0.560,0.167,0.550,-
Pelalawan,0.000,0.359,0.326,0.167,0.754,2.206,0.071,0.032,0.074,0.253,0.178,0.048,0.409,0.063,0.050,0.200,0.333,0.034,0.704,0.027,0.054,0.726,0.029,0.077,0.020,0.080,0.437,0.297,0.529,0.404,0.239,0.202,0.001
Siak,0.000,0.589,1.289,0.410,1.170,2.513,0.108,0.111,0.089,0.237,0.164,0.345,0.539,0.065,0.205,0.237,0.389,0.055,0.509,0.178,0.169,0.867,0.031,0.124,0.244,0.077,0.595,0.188,0.113,0.384,0.223,0.217,-
Kampar,0.000,0.386,0.852,0.200,0.764,2.480,0.103,0.109,0.105,0.396,0.232,0.156,0.618,0.074,0.053,0.473,0.340,0.078,0.181,0.038,0.085,0.938,0.019,0.173,0.036,0.082,0.307,0.165,0.190,0.833,0.301,0.158,0.000
Rokan Hulu,0.000,0.433,0.641,0.137,1.130,2.998,0.064,0.043,0.147,0.156,0.259,0.066,0.378,0.095,0.060,0.277,0.373,0.088,0.419,0.014,0.074,0.332,0.018,0.257,0.046,0.100,0.330,0.167,0.104,0.573,0.217,0.136,0.000
Bengkalis,0.000,0.408,0.847,0.271,1.800,2.184,0.080,0.146,0.216,0.308,0.213,0.041,0.623,0.096,0.097,0.168,0.330,0.068,0.622,0.087,0.147,0.536,0.038,0.119,0.042,0.055,0.316,0.178,0.172,0.480,0.225,0.160,0.001
Rokan Hilir,0.000,0.294,1.180,0.315,1.158,2.831,0.040,0.097,0.145,0.169,0.203,0.051,0.333,0.068,0.038,0.207,0.547,0.111,0.694,0.034,0.057,0.921,0.028,0.089,0.285,0.066,0.341,0.242,0.188,0.550,0.246,0.376,0.002
Kepulauan Meranti,0.000,0.591,1.015,0.362,2.319,2.445,0.041,0.032,0.073,0.227,0.109,0.080,0.647,0.043,0.077,0.071,0.157,0.060,0.655,0.076,0.117,0.482,0.035,0.061,0.054,0.096,0.028,0.099,0.141,0.607,0.116,0.578,0.001
Kota Pekanbaru,0.000,0.494,1.177,0.325,1.150,1.984,0.181,0.217,0.186,0.893,0.319,0.026,1.112,0.169,0.037,0.253,0.395,0.046,0.511,0.115,0.273,0.804,0.150,0.174,0.191,0.184,0.589,0.204,0.175,0.388,0.319,0.193,0.010
Kota Dumai,0.000,0.372,0.767,0.280,1.189,2.211,0.040,0.112,0.093,0.469,0.207,0.069,0.746,0.069,0.089,0.147,0.508,0.097,0.632,0.066,0.175,1.446,0.025,0.164,0.143,0.061,0.722,0.088,0.109,0.331,0.284,0.197,0.007
Kerinci,0.000,0.376,1.535,0.442,1.267,3.847,0.249,0.250,0.347,0.076,0.347,0.364,0.832,0.087,0.079,0.516,0.331,0.193,0.729,0.046,0.136,1.656,0.005,0.342,0.113,0.041,0.131,0.150,0.112,0.378,0.263,0.133,0.000
Merangin,0.000,0.142,0.848,0.199,0.787,2.657,0.061,0.075,0.165,0.205,0.135,0.220,0.360,0.121,0.213,0.169,0.308,0.050,0.405,0.048,0.162,0.716,0.009,0.086,0.081,0.058,0.107,0.240,0.107,0.516,0.152,0.202,0.000
Sarolangun,0.000,0.080,0.867,0.134,0.972,2.540,0.120,0.039,0.215,0.351,0.090,0.222,0.190,0.065,0.069,0.127,0.243,0.033,0.384,0.031,0.129,0.953,0.005,0.074,0.104,0.053,0.122,0.231,0.076,0.461,0.176,0.267,0.007
